Subject,Stimulus_type,Stimulus_order,Trials
SRSCH03male,familiarFemale,1,232
SRSCH03male,familiarFemale,2,316
SRSCH03male,familiarFemale,3,256
SRSCH04male,familiarFemale,1,689
SRSCH04male,familiarFemale,2,761
SRSCH04male,familiarFemale,3,830
SRSCH05female,familiarMale,1,284
SRSCH05female,familiarMale,2,383
SRSCH05female,familiarMale,3,223
SRSCH05male,familiarFemale,1,306
SRSCH05male,familiarFemale,2,252
SRSCH05male,familiarFemale,3,312
SRSCH06female,familiarMale,1,477
SRSCH06female,familiarMale,2,533
SRSCH06female,familiarMale,3,503
SRSCH06male,familiarFemale,1,63
SRSCH06male,familiarFemale,2,64
SRSCH06male,familiarFemale,3,54
SRSCH07female,familiarMale,1,202
SRSCH07female,familiarMale,2,192
SRSCH07female,familiarMale,3,349
SRSCH07male,familiarFemale,1,209
SRSCH07male,familiarFemale,2,415
SRSCH07male,familiarFemale,3,283
