Subject,Stimulus_type,Stimulus_order,Trials
SRSCH03male,familiarFemale,1,232
SRSCH03male,novelFemale,2,185
SRSCH03male,familiarFemale,3,297
SRSCH03male,novelMale,4,191
SRSCH03male,familiarFemale,5,256
SRSCH04male,familiarFemale,1,689
SRSCH04male,novelFemale,2,348
SRSCH04male,familiarFemale,3,785
SRSCH04male,novelMale,4,359
SRSCH04male,familiarFemale,5,830
SRSCH05female,familiarMale,1,284
SRSCH05female,novelFemale,2,460
SRSCH05female,familiarMale,3,383
SRSCH05female,novelMale,4,388
SRSCH05female,familiarMale,5,223
SRSCH05male,familiarFemale,1,306
SRSCH05male,novelMale,2,117
SRSCH05male,familiarFemale,3,80
SRSCH05male,novelFemale,4,89
SRSCH05male,familiarFemale,5,312
SRSCH06female,familiarMale,1,477
SRSCH06female,novelMale,2,215
SRSCH06female,familiarMale,3,295
SRSCH06female,novelFemale,4,205
SRSCH06female,familiarMale,5,503
SRSCH06male,familiarFemale,1,63
SRSCH06male,novelFemale,2,52
SRSCH06male,familiarFemale,3,64
SRSCH06male,novelMale,4,59
SRSCH06male,familiarFemale,5,54
SRSCH07female,familiarMale,1,202
SRSCH07female,novelMale,2,29
SRSCH07female,familiarMale,3,250
SRSCH07female,novelFemale,4,21
SRSCH07female,familiarMale,5,349
SRSCH07male,familiarFemale,1,209
SRSCH07male,novelFemale,2,84
SRSCH07male,familiarFemale,3,415
SRSCH07male,novelMale,4,96
SRSCH07male,familiarFemale,5,283
