Subject,Treatment,Day,Metric,Value
SROF012,TRAINING1,1,%correct,54.29362880886427
SROF012,TRAINING1,2,%correct,60.67796610169491
SROF012,TRAINING1,3,%correct,66.82808716707022
SROF012,TRAINING1,4,%correct,69.58041958041959
SROF012,TRAINING1,5,%correct,68.54219948849105
SROF012,TRAINING1,6,%correct,73.80952380952381
SROF012,TRAINING1,7,%correct,76.77419354838709
SROF017,TRAINING1,1,%correct,53.154574132492115
SROF017,TRAINING1,2,%correct,46.91151919866444
SROF017,TRAINING1,3,%correct,50.959860383944154
SROF017,TRAINING1,4,%correct,53.49264705882353
SROF017,TRAINING1,5,%correct,62.72321428571429
SROF017,TRAINING1,6,%correct,62.25296442687747
SROF017,TRAINING1,7,%correct,56.400742115027825
SROF017,TRAINING1,8,%correct,50.51546391752577
SROF017,TRAINING1,9,%correct,57.95454545454546
SROF017,TRAINING1,10,%correct,66.66666666666666
SROF017,TRAINING1,11,%correct,59.61538461538461
SROF017,TRAINING1,12,%correct,66.15853658536585
SROF017,TRAINING1,13,%correct,60.60606060606061
SROF017,TRAINING1,14,%correct,64.49438202247191
SROF017,TRAINING1,15,%correct,62.916666666666664
SROF017,TRAINING1,16,%correct,71.82203389830508
SROF017,TRAINING1,17,%correct,66.82242990654206
SROF017,TRAINING1,18,%correct,75.23510971786834
SROF017,TRAINING1,19,%correct,61.96078431372549
SROF017,TRAINING1,20,%correct,64.98855835240275
SROF017,TRAINING1,21,%correct,63.24626865671642
SROF017,TRAINING1,22,%correct,68.99038461538461
SROF017,TRAINING1,23,%correct,74.34343434343434
SROF017,TRAINING1,24,%correct,69.35483870967742
SROF017,TRAINING1,25,%correct,67.01754385964912
SROF017,TRAINING1,26,%correct,62.7906976744186
SROF017,TRAINING1,27,%correct,62.97709923664122
SROF017,TRAINING1,28,%correct,62.16216216216216
SROF017,TRAINING1,29,%correct,62.643678160919535
SROF017,TRAINING1,30,%correct,75.99164926931107
SROF017,TRAINING1,31,%correct,72.24137931034483
SROF018,TRAINING1,1,%correct,70.1923076923077
SROF018,TRAINING1,2,%correct,61.016949152542374
SROF018,TRAINING1,3,%correct,37.03703703703704
SROF018,TRAINING1,4,%correct,55.639097744360896
SROF018,TRAINING1,5,%correct,54.69613259668509
SROF018,TRAINING1,6,%correct,59.523809523809526
SROF018,TRAINING1,7,%correct,69.47368421052632
SROF018,TRAINING1,8,%correct,67.32673267326733
SROF018,TRAINING1,9,%correct,72.18045112781954
SROF018,TRAINING1,10,%correct,69.71830985915493
SROF018,TRAINING1,11,%correct,72.16494845360825
SROF018,TRAINING1,12,%correct,64.17910447761194
SROF018,TRAINING1,13,%correct,75.82417582417582
SROF018,TRAINING1,14,%correct,64.93506493506493
SROF018,TRAINING1,15,%correct,85.08771929824562
SROF018,TRAINING1,16,%correct,78.64077669902912
SROF020,TRAINING1,1,%correct,65.93406593406593
SROF020,TRAINING1,2,%correct,64.0625
SROF020,TRAINING1,3,%correct,60.73619631901841
SROF020,TRAINING1,4,%correct,61.6
SROF020,TRAINING1,5,%correct,69.44444444444444
SROF020,TRAINING1,6,%correct,66.66666666666666
SROF020,TRAINING1,7,%correct,78.91566265060241
SROF020,TRAINING1,8,%correct,67.08860759493672
SROF020,TRAINING1,9,%correct,77.41935483870968
SROF020,TRAINING1,10,%correct,46.15384615384615
SROF020,TRAINING1,11,%correct,70.0
SROF020,TRAINING1,12,%correct,60.0
SROF020,TRAINING1,13,%correct,79.38144329896907
SROF020,TRAINING1,14,%correct,73.42657342657343
SROF012,TRAINING2,1,%correct,59.917355371900825
SROF012,TRAINING2,2,%correct,64.46700507614213
SROF012,TRAINING2,3,%correct,68.03069053708441
SROF012,TRAINING2,4,%correct,69.08077994428969
SROF012,TRAINING2,5,%correct,74.63768115942028
SROF012,TRAINING2,6,%correct,78.42227378190255
SROF017,TRAINING2,1,%correct,55.970149253731336
