"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"female161W","Naive",1,"Songs",132,88,94,127,0.925873048517375,51.2471655328798,0.0647815868188249,-0.219785272024507,441,"Naive.Songs","female161W.Naive"
"female161W","Naive",2,"Songs",111,81,103,103,0.862762228350467,53.7688442211055,0.196064623098074,-0.0980323115490369,398,"Naive.Songs","female161W.Naive"
"female161W","Naive",3,"Songs",137,91,94,120,0.90498878240856,52.262443438914,0.102329004247932,-0.203313058606298,442,"Naive.Songs","female161W.Naive"
"female161W","Naive",4,"Songs",148,84,111,94,0.851926632157025,59.2677345537757,0.454969134671079,-0.123870631701221,437,"Naive.Songs","female161W.Naive"
"female161W","Naive",5,"Songs",122,65,106,66,0.83457072112234,63.5097493036212,0.683595301789862,-0.0478345862555356,359,"Naive.Songs","female161W.Naive"
"female161W","Naive",6,"Songs",91,63,104,60,0.861195016357616,61.3207547169811,0.569069678315701,0.0561599879299447,318,"Naive.Songs","female161W.Naive"
"female161W","Naive",7,"Songs",59,67,94,31,0.934291108411111,60.9561752988048,0.59545863488095,0.376760432755607,251,"Naive.Songs","female161W.Naive"
"female161W","Naive",8,"Songs",44,39,76,24,0.915644438808824,65.5737704918033,0.772717225726401,0.311687246617716,183,"Naive.Songs","female161W.Naive"
"female161W","Naive",9,"Songs",46,36,62,37,0.909266443144578,59.6685082872928,0.470219537029002,0.083529595449874,181,"Naive.Songs","female161W.Naive"
"female161W","Naive",10,"Songs",38,29,61,21,0.973770436559322,66.4429530201342,0.81296772138503,0.239835905942535,149,"Naive.Songs","female161W.Naive"
"female161W","Naive",11,"Songs",22,15,35,20,1.11655835880952,61.9565217391304,0.575240303595895,0.0546562975265752,92,"Naive.Songs","female161W.Naive"
"female161W","Naive",12,"Songs",18,19,32,13,0.628915771387097,60.9756097560976,0.51026375676403,0.288119811319418,82,"Naive.Songs","female161W.Naive"
"female161W","Naive",13,"Songs",84,38,90,31,0.845037843878261,71.6049382716049,1.13625642493397,0.080786595805046,243,"Naive.Songs","female161W.Naive"
"female161W","Naive",14,"Songs",42,18,48,12,0.858557793796296,75,1.33917591888589,0.154594194553433,120,"Naive.Songs","female161W.Naive"
"female265W","Naive",1,"Songs",57,28,36,40,0.778834927948454,57.7639751552795,0.370910151902705,-0.250608369958984,161,"Naive.Songs","female265W.Naive"
"female265W","Naive",2,"Songs",40,23,30,20,0.7444484154,61.9469026548673,0.587586699645934,-0.0455182567158505,113,"Naive.Songs","female265W.Naive"
"female265W","Naive",3,"Songs",56,13,38,36,0.767609311163044,65.7342657342657,0.90084362922597,-0.41699387978273,143,"Naive.Songs","female265W.Naive"
"female265W","Naive",4,"Songs",79,19,52,43,0.812487318827869,67.8756476683938,0.970264908853789,-0.367362579847799,193,"Naive.Songs","female265W.Naive"
"female265W","Naive",5,"Songs",93,13,74,41,0.667807274813433,75.5656108597285,1.50914914661282,-0.390118193968283,221,"Naive.Songs","female265W.Naive"
"female265W","Naive",6,"Songs",110,20,85,42,0.572819811736842,75.875486381323,1.44330602123445,-0.287341849442014,257,"Naive.Songs","female265W.Naive"
"Male_W147R","Naive",1,"Songs",38,7,18,27,0.461461415646154,62.2222222222222,0.734301993656746,-0.614875171481139,90,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",2,"Songs",61,30,35,58,0.329519061470588,52.1739130434783,0.124081660649077,-0.373674228930224,184,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",3,"Songs",19,22,17,13,0.32337775825,50.7042253521127,0.0727870215655232,0.126035861858524,71,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",4,"Songs",8,8,18,14,0.231330622272727,54.1666666666667,0.152505974246244,0.0762529871231222,48,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",5,"Songs",22,13,13,17,0.189671858692308,53.8461538461538,0.156209991323089,-0.24053436830283,65,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",6,"Songs",75,63,62,72,0.294574354802721,50.3676470588235,0.0154399218251695,-0.100691809473659,272,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",7,"Songs",51,17,22,40,0.27889705756044,56.1538461538462,0.297025082388983,-0.514618897995061,130,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",8,"Songs",36,15,22,37,0.23544244569863,52.7272727272727,0.211300182335945,-0.424289455132348,110,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",9,"Songs",48,11,22,29,0.333511036753247,63.6363636363636,0.702247123620694,-0.520647410379612,110,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",10,"Songs",25,23,35,11,0.426512526138889,63.8297872340426,0.742502410040843,0.32007319390837,94,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",11,"Songs",39,23,23,27,0.343218409621212,55.3571428571429,0.225418230883155,-0.211167107327215,112,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",12,"Songs",12,20,25,13,0.53263091092,52.8571428571429,0.0870594901195533,0.352195550754711,70,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",13,"Songs",31,35,44,23,0.539311170592593,56.390977443609,0.322364328004832,0.236076846456933,133,"Naive.Songs","Male_W147R.Naive"
"Male_W147R","Naive",14,"Songs",70,27,71,33,0.398634405980583,70.1492537313433,1.05138732473943,-0.0553300239917152,201,"Naive.Songs","Male_W147R.Naive"
