"Subject","Condition","Day_of_training","Stimuli","Hits","Misses","Rejects","False_alarms","Response_time_s","PC","DP","Response_bias","Trial_number","Condition_stimuli","Subject_condition"
"SRCF006","Experienced",1,"Tones",56,17,22,39,0.723571308042105,58.2089552238806,0.366940943332548,-0.534179766593505,134,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",2,"Tones",19,5,5,17,0.521280335111111,52.1739130434783,0.0630907107796609,-0.740647858798855,46,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",3,"Tones",53,15,22,34,0.704968762149425,60.4838709677419,0.489629534601283,-0.511808892705594,124,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",4,"Tones",44,6,23,35,0.70359645313924,62.037037037037,0.880786842298067,-0.698130057311035,108,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",5,"Tones",39,7,15,23,0.555851786354839,64.2857142857143,0.736218722004097,-0.628098962233119,84,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",6,"Tones",27,9,21,26,0.811070617698113,57.8313253012048,0.522449962034867,-0.392151629954102,83,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",7,"Tones",46,9,27,31,0.676090983571429,64.6017699115044,0.87050458131145,-0.520325247284707,113,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",8,"Tones",60,15,50,23,0.543329890915663,74.3243243243243,1.30211570532447,-0.176546262731149,148,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Experienced",9,"Tones",90,32,88,20,0.589562676154545,77.3913043478261,1.51538404403444,0.127326226950487,230,"Experienced.Tones","SRCF006.Experienced"
"SRCF006","Naive",1,"Tones",51,76,76,48,0.594204411362157,50.597609561753,0.0372503273308166,0.265910379006213,251,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",2,"Tones",66,109,104,60,0.745985248732188,50.1474926253687,0.0295385475051726,0.325925553335209,339,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",3,"Tones",39,104,99,55,0.890954859713291,46.4646464646465,-0.236205560551514,0.481739862404764,297,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",4,"Tones",69,88,102,77,0.72456935333879,50.8928571428571,0.0236697856452591,0.163125047343103,336,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",5,"Tones",56,91,109,30,0.514541343201038,57.6923076923077,0.478580520331197,0.54016040964255,286,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",6,"Tones",67,34,50,37,0.692426706735904,62.2340425531915,0.603503518694256,-0.115532380041893,188,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",7,"Tones",75,63,72,31,0.759920221454692,60.9958506224066,0.624533731137884,0.203855095182699,241,"Naive.Tones","SRCF006.Naive"
"SRCF006","Naive",8,"Tones",64,31,100,24,0.802647279067473,74.8858447488584,1.3010925104782,0.205449730253583,219,"Naive.Tones","SRCF006.Naive"
"SRCF009","Experienced",1,"Tones",50,107,80,52,0.988811633156863,44.9826989619377,-0.201766837043813,0.367877543926859,289,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",2,"Tones",74,42,56,64,0.864149050427536,55.0847457627119,0.2668319675061,-0.216374786216358,236,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",3,"Tones",99,34,52,89,0.761375196425532,55.1094890510949,0.318588130608956,-0.491893566796739,274,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",4,"Tones",66,32,46,49,0.837769910573913,58.0310880829015,0.405483670485574,-0.241917920745885,193,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",5,"Tones",66,60,82,66,0.720051588484849,54.014598540146,0.194239282048146,0.0378733073694652,274,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",6,"Tones",105,33,88,52,0.652318100993631,69.4244604316547,1.02872737527003,-0.188702683168482,278,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",7,"Tones",45,24,45,37,0.829424991841463,59.6026490066225,0.506417147632226,-0.132111892591454,151,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",8,"Tones",55,28,44,31,0.665700690709302,62.6582278481013,0.630465132097335,-0.099180763551409,158,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",9,"Tones",86,24,62,52,0.707588444572464,66.0714285714286,0.878961880447441,-0.330280458532289,224,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",10,"Tones",57,23,67,26,0.679600376662651,71.6763005780347,1.13018644279828,0.0120691299715913,173,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",11,"Tones",77,18,44,36,0.670845820840708,69.1428571428571,0.992061136197881,-0.371928635378003,175,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",12,"Tones",38,17,43,20,0.632803805862069,68.6440677966102,0.955601533967259,-0.0109756441310399,118,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",13,"Tones",26,16,32,15,0.694259335463415,65.1685393258427,0.755280947986044,0.0819177745408604,89,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",14,"Tones",45,11,58,11,0.538473725303571,82.4,1.81236654584143,0.070812129348606,125,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Experienced",15,"Tones",52,16,75,7,0.563612844966102,84.6666666666667,2.04763506996816,0.314715031575054,150,"Experienced.Tones","SRCF009.Experienced"
"SRCF009","Naive",1,"Tones",39,19,37,25,0.961231883615255,63.3333333333333,0.679549943444693,-0.0987345778363197,120,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",2,"Tones",34,40,41,25,1.03264281709315,53.5714285714286,0.203479467900202,0.202173454461571,140,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",3,"Tones",60,25,65,33,0.785144157307122,68.3060109289617,0.951338046211171,-0.0587910651101786,183,"Naive.Tones","SRCF009.Naive"
"SRCF009","Naive",4,"Tones",34,21,26,17,0.483526127011168,61.2244897959184,0.554413199897802,-0.0179724005397448,98,"Naive.Tones","SRCF009.Naive"
