Subject,Trial_type,Logit_Coeff,Logit_Intercept,Area_under_curve,%Correct,Hit_rate,Rejection_rate
SROF018,GO,0.008361027931535618,0.33990327867188935,68.04493723417326,67.87878787878788,32.121212121212125,nan
SROF018,NOGO,0.025399553912511048,-1.1552929161876606,53.09320815770314,52.57575757575758,nan,47.42424242424242
SROF020,GO,0.0006616655791314863,1.524891764500496,82.61405528596994,82.60497000856898,17.39502999143102,nan
SROF020,NOGO,0.014203541958216057,-0.9455996503262811,44.7098757608999,44.38731790916881,nan,55.612682090831186
SROF012,GO,0.018225982587347662,0.3482945633537684,76.93335200789468,76.63716814159292,23.36283185840708,nan
SROF012,NOGO,0.01424478435650479,-0.18991031468036076,62.608148188522904,62.30088495575221,nan,37.69911504424779
SROF017,GO,0.022788479626986036,0.8990391442848,87.05629687939215,86.81972789115646,13.180272108843539,nan
SROF017,NOGO,0.010478868213057695,-0.6917361930685167,46.16211365369202,45.91836734693877,nan,54.08163265306123
SRCF006,GO,-0.0005659650091300455,1.4051571423962215,79.83821477074649,79.84644913627639,20.153550863723606,nan
SRCF006,NOGO,0.026208853599708842,-1.203560064035814,52.91791095735137,52.39923224568138,nan,47.60076775431862
SRCF009,GO,0.014816643423954822,-0.049603300325888146,66.2963474964672,65.98877980364657,34.011220196353435,nan
SRCF009,NOGO,0.011729407686137606,-0.2641414144192201,58.051337780648,57.784011220196355,nan,42.215988779803645
SRCF012,GO,0.016345139798315207,0.1879641789412999,72.55207296185573,72.27979274611398,27.72020725388601,nan
SRCF012,NOGO,0.011708666921798718,-0.40535128510792795,54.649266801664965,54.40414507772021,nan,45.59585492227979
SRCF014,GO,0.00204194452708769,1.5147956665376756,83.4487754727195,83.42857142857143,16.57142857142857,nan
SRCF014,NOGO,0.04144640693900727,-2.467342038327997,43.40428406203961,42.857142857142854,nan,57.14285714285714
