Trial_number,Time_s
1,4051.969341993332
2,4142.873611211777
3,4596.722962141037
4,5643.121384143829
5,6285.917923212051
6,7634.158352136612
7,8027.840646028519
8,8337.135374069214
9,9415.713632106781
10,9461.871858119965
11,9666.503849029541
12,9912.357855081558
13,9972.181195020676
14,10050.878758192062
15,10075.780537128448
16,10098.690515995026
17,10116.473991155624
18,10135.710361003876
19,10149.180464029312
20,10163.611461162567
21,10186.530297994614
22,10206.42175912857
23,10225.3973300457
24,10241.25204706192
25,10255.047981023788
26,10268.309987068176
27,10288.143033027649
28,10301.564333200455
29,10357.425487041473
30,10370.739666223526
31,10384.431938171387
32,10397.44451713562
33,10429.435937166214
34,10445.9465341568
35,10461.109335184097
36,10478.442582130432
37,10495.85868215561
38,10508.871544122696
39,10529.582873106003
40,10542.947286128998
41,11007.040741205215
42,11638.221573114395
43,11651.739995002747
44,11665.033516168594
45,11680.981370210648
46,11698.534998178482
47,11716.845021009445
48,11729.857689142227
49,11744.588670015335
50,11761.213901042938
51,11777.740148067474
52,11792.302713155746
53,11805.664561033249
54,11820.6290102005
55,11833.938143014908
56,11850.221571207047
57,11872.087015151978
58,11888.180044174194
59,11904.405177116394
60,11920.247675180435
61,11934.355033159256
62,11948.02535200119
63,11962.255096197128
64,11975.267675161362
65,11991.2043800354
66,12004.693544149399
67,12019.664100170135
68,12034.11325621605
69,12049.46188902855
70,12069.614077091217
71,12083.192911148071
72,12099.209311008453
73,12112.47145819664
74,12127.744261026382
75,12142.27962899208
76,12156.919995069504
77,12197.401489019394
78,12214.942919015884
79,12231.688021183014
80,12245.69368314743
81,12260.838843107224
82,12276.112931013107
83,12289.422386169434
84,12304.733280181885
85,12321.084904193878
86,12334.60668516159
87,12348.945785045624
88,12363.505066156387
89,12376.583968162537
90,12390.901658058167
91,12404.24181509018
92,12426.836703062057
93,12440.392218112946
94,12459.659979104996
95,12522.113332033157
96,12542.2582051754
97,12562.051970005035
98,12578.008577108383
99,12593.64018702507
100,12607.922485113144
101,12621.25155711174
102,12639.584411144257
103,12656.81864118576
104,12672.829313993454
105,12685.841908216476
106,12706.3749730587
107,12913.45358300209
108,12988.235710144043
109,13007.25944018364
110,13021.066498994827
111,13038.234777212143
112,13060.627948999405
113,13073.879159212112
114,13090.142628192902
115,13110.57929611206
116,13245.961814165115
117,13259.905991077423
118,13272.918578147888
119,13286.347206115723
120,13299.359899997711
121,13312.936771154404
122,13328.392913103104
123,13352.934395074844
124,13369.793243169785
125,13386.377410173416
126,13399.41615319252
127,13419.88422203064
128,13449.16040802002
129,13636.25530409813
130,13650.720121145248
131,13665.975382089615
132,13679.297586202621
133,13694.673148155212
134,13709.898251056671
135,13725.43257522583
136,13743.006147146225
137,13758.592550992966
138,13772.895893096924
139,13788.308348178864
140,13802.036468029022
141,13847.034843206406
142,13860.380847215652
143,13879.95645403862
144,13893.617370128632
145,13942.898776054382
146,13959.19564819336
147,13975.882678031921
148,13990.0897731781
149,14005.843893051147
150,14020.617299079895
151,14044.917882204056
152,14058.296584129333
153,14072.716400146484
154,14088.861588001251
155,14102.385837078094
156,14118.925645112991
157,14138.220739126205
158,14151.870609045029
159,14167.96448302269
160,14182.436323165894
161,14196.620620012283
162,14210.75123000145
163,14226.083690166473
164,14243.25085902214
165,14258.633249044418
166,14272.540135145187
167,14291.751759052277
168,14319.982861042023
169,14333.530466079712
170,14348.067768096924
171,14374.043839216232
172,14393.237796068192
173,14412.392539024353
