Trial_number,Time_s
1,2447.3741471767426
2,2461.0880529880524
3,2476.625761985779
4,2492.851140975952
5,2507.579869031906
6,2523.1500210762024
7,2541.574074983597
8,2554.978212118149
9,2572.0838329792023
10,2588.800971031189
11,2604.6348571777344
12,2619.5977370738983
13,2633.321711063385
14,2647.5221841335297
15,2661.4087290763855
16,2676.226897954941
17,2698.3245601654053
18,2714.25204706192
19,2728.885775089264
20,2742.072786092758
21,2757.9643070697784
22,2773.2392930984497
23,2786.748293161392
24,2802.0283279418945
25,2833.2248129844666
26,2849.1691789627075
27,2866.418037176132
28,2880.823553085327
29,2895.9374599456787
30,2915.2425620555878
31,2929.4530651569366
32,2944.489356994629
33,2958.303286075592
34,2976.5659630298615
35,2991.218451976776
36,3004.828577041626
37,3018.2156410217285
38,3035.408457994461
39,3050.6161890029907
40,3067.253551006317
41,3082.767338991165
42,3097.1728360652924
43,3112.1243829727173
44,3127.51336812973
45,3142.5892131328583
46,3158.1817729473114
47,3173.237874984741
48,3186.869714975357
49,3201.8429419994354
50,3214.8556950092316
51,3229.9561030864716
52,3244.390869140625
53,3259.4510409832
54,3274.5327050685883
55,3292.09543800354
56,3323.6408021450043
57,3342.8173241615295
58,3366.424571990967
59,3379.8372991085052
60,3441.166913986206
61,3454.976401090622
62,3471.601935148239
63,3485.073158979416
64,3506.0158109664917
65,3520.5695540905
66,3533.811117172241
67,3548.850387096405
68,3562.176568031311
69,3578.829043149948
70,3594.2432329654694
71,3608.199105978012
72,3621.4850261211395
73,3636.5905301570892
74,3651.5077390670776
75,3670.450073003769
76,3688.50342297554
77,3702.1661071777344
78,3715.909026145935
79,3730.172737121582
80,3754.676910161972
81,3767.911962032318
82,3781.933429002762
83,3796.888592004776
84,3810.976760149002
85,3824.7737140655518
86,3838.135503053665
87,3853.8353250026703
88,3868.607388973236
89,3884.1454310417175
90,3899.3841500282288
91,3915.0200231075287
92,3929.8929240703583
93,3944.0755660533905
94,3957.9547460079193
95,4035.6595561504364
96,4050.4395151138306
97,4065.5823199748993
98,4109.658910989761
99,4141.246166944504
100,4170.84543800354
101,4201.475435972214
102,4216.462275981903
103,4238.8604481220245
104,4252.052839040756
