Trial_number,Time_s
1,1110.8707611560822
2,1127.067579984665
3,1143.6855199337006
4,1158.290027141571
5,1177.6442339420319
6,1190.6570880413055
7,1206.129497051239
8,1223.337077140808
9,1237.1198470592499
10,1250.2592480182648
11,1265.8998301029205
12,1279.7559461593628
13,1311.7065789699554
14,1344.736573934555
15,2604.287009000778
16,2618.0968959331512
17,2693.6650099754333
18,2837.2814271450043
19,2851.4974360466003
20,2874.2207419872284
21,2896.436964035034
22,2929.7787430286407
23,3174.8515100479126
24,3191.642328977585
25,3222.8889710903168
26,3237.9477360248566
27,3253.6731231212616
28,3271.4008841514587
29,3298.4689610004425
30,3995.0404670238495
31,4102.018182039261
32,4124.741620063782
33,5694.068418979645
34,5713.805598020554
35,5741.530846118927
36,6157.060377120972
37,6174.087885141373
38,6706.474420070648
39,7163.227347135544
40,7545.604906082153
41,7573.404081106186
42,8393.967499017715
43,8834.899378061295
44,9384.556277990341
45,11731.034922122955
46,11797.44991016388
47,12280.475327014923
48,12301.166358947754
49,12619.335150003433
50,12861.545506000519
51,13054.108252048492
52,14380.616707086563
