Trial_number,Time_s
1,204.30708003044128
2,218.52236008644104
3,232.38742089271545
4,245.53529596328735
5,262.92289304733276
6,277.4247980117798
7,299.1842830181122
8,331.11589789390564
9,346.9628839492798
10,366.4807779788971
11,401.5964870452881
12,590.9225380420685
13,632.0300240516663
14,933.8297259807587
15,948.0229580402374
16,2473.1975219249725
17,2507.797831058502
18,2528.877520084381
19,2559.49360203743
20,3105.875195980072
21,3776.7135450839996
22,4363.3285410404205
23,4419.298182010651
24,6134.651417970657
25,7016.950784921646
26,7286.891246080399
27,7920.870234012604
28,7995.872184038162
29,8094.712909936905
30,8703.61105298996
31,8723.01742386818
32,8789.010370969772
33,8803.260436058044
34,8888.916286945343
35,9165.973494052887
36,9189.116689920425
37,9291.541785001755
38,9626.752654075623
39,9809.874764919281
40,10093.147589921951
41,10154.203054904938
42,10512.805229902267
43,10766.402049064636
44,10962.574573040009
45,11445.757479906082
46,11683.260510921478
47,12157.936716079712
48,12953.143231868744
49,13067.235928058624
50,13175.576469898224
51,13201.33185505867
52,13360.840025901794
53,13411.580888986588
54,13431.206529855728
55,13659.461396932602
56,13713.40767288208
57,14036.812118053436
58,14063.585309028625
59,14099.763972997665
