Trial_number,Time_s
1,1886.2016739845276
2,2212.4423699378967
3,4886.459855794907
4,4902.124085903168
5,4917.192242860794
6,4933.975119829178
7,4948.626617908478
8,4966.386324882507
9,5015.62760591507
10,5040.457183837891
11,5062.445840835571
12,5076.125072956085
13,5126.824721813202
14,5342.835295915604
15,5357.204294919968
16,5381.794254779816
17,5452.397491931915
18,5986.317663908005
19,6641.971822977066
20,6671.676045894623
21,6690.814426898956
22,6706.022750854492
23,6754.227874994278
24,6781.096951007843
25,6797.551059961319
26,6811.379216909409
27,6825.370653867722
28,6840.270139932632
29,6853.576021909714
30,6871.065618991852
31,6884.976181983948
32,6900.297794818878
33,6916.247026920319
34,6936.215673923492
35,6951.119386911392
36,6965.474550008774
37,6983.933227777481
38,7046.061709880829
39,7204.1959018707275
40,7674.944013834
41,7943.373809814453
42,8680.570514917374
43,8693.899451971054
44,8708.609516859055
45,8727.478882789612
46,8741.175546884537
47,8756.59103178978
48,8771.40090584755
49,8787.921875
50,8805.337786912918
51,8820.004880905151
52,8869.911209821701
53,8885.291891813278
54,8903.38663983345
55,8936.74011683464
56,8988.830045938492
57,9096.737355947495
58,9513.43782877922
59,9545.089434862137
60,9870.95313501358
61,10491.766309976578
62,10534.816129922867
63,10748.597683906555
64,10882.418825864792
65,10898.871033906937
66,10969.713534832
67,11035.211337804794
68,11085.262534856796
69,11099.720030784607
70,11161.948665857315
71,11344.272672891617
72,11359.347554922104
73,11384.277196884155
74,11411.277934789658
75,11432.660655975342
76,11474.893127918243
77,11738.935626983643
78,11817.893832921982
79,11843.088562965393
80,11875.67154788971
81,13102.424712896347
82,14148.764819860458
83,14175.439110994339
84,14242.687003850937
