Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,NA,0,0,1,0,5.262505054,Song1Pk43(-9.5)63db.wav
2,NOGO,NA,0,0,1,0,32.90253305,Song1Pk43(-9.5)63db.wav
3,GO,0,1,0,0,0,47.2125001,Song2Pea30(-5.5)63db.wav
4,GO,0.31359601,1,0,0,0,145.3925459,Song2Pea30(-5.5)63db.wav
5,NOGO,NA,0,0,1,0,163.0424941,Song1Pk43(-9.5)63db.wav
6,NOGO,0.061460972,0,0,0,1,184.032495,Song1Pk43(-9.5)63db.wav
7,NOGO,0.045638084,0,0,0,1,218.4425039,Song1Pk43(-9.5)63db.wav
8,NOGO,0.532114983,0,0,0,1,247.5125329,Song1Pk43(-9.5)63db.wav
9,NOGO,0.689021826,0,0,0,1,280.0324931,Song1Pk43(-9.5)63db.wav
10,NOGO,0,0,0,0,1,342.012542,Song1Pk43(-9.5)63db.wav
11,NOGO,0.520112991,0,0,0,1,387.8524981,Song1Pk43(-9.5)63db.wav
12,NOGO,NA,0,0,1,0,419.0425181,Song1Pk43(-9.5)63db.wav
13,NOGO,0.526062012,0,0,0,1,455.6725001,Song1Pk43(-9.5)63db.wav
14,GO,0,1,0,0,0,496.862498,Song2Pea30(-5.5)63db.wav
15,GO,NA,0,1,0,0,568.6025469,Song2Pea30(-5.5)63db.wav
16,NOGO,NA,0,0,1,0,698.242507,Song1Pk43(-9.5)63db.wav
17,GO,0.123291016,1,0,0,0,757.152509,Song2Pea30(-5.5)63db.wav
18,NOGO,NA,0,0,1,0,775.252526,Song1Pk43(-9.5)63db.wav
19,NOGO,NA,0,0,1,0,1025.922495,Song1Pk43(-9.5)63db.wav
20,GO,0,1,0,0,0,2070.37249,Song2Pea30(-5.5)63db.wav
21,NOGO,NA,0,0,1,0,2091.902544,Song1Pk43(-9.5)63db.wav
22,NOGO,NA,0,0,1,0,2104.932524,Song1Pk43(-9.5)63db.wav
23,GO,0.375733852,1,0,0,0,2127.542484,Song2Pea30(-5.5)63db.wav
24,GO,0,1,0,0,0,2143.172525,Song2Pea30(-5.5)63db.wav
25,NOGO,0.203135014,0,0,0,1,2260.052532,Song1Pk43(-9.5)63db.wav
26,GO,0,1,0,0,0,2297.91249,Song2Pea30(-5.5)63db.wav
27,NOGO,NA,0,0,1,0,2378.732546,Song1Pk43(-9.5)63db.wav
28,GO,NA,0,1,0,0,2455.532518,Song2Pea30(-5.5)63db.wav
29,GO,NA,0,1,0,0,2470.512494,Song2Pea30(-5.5)63db.wav
30,GO,1.265738964,1,0,0,0,2519.142479,Song2Pea30(-5.5)63db.wav
31,NOGO,NA,0,0,1,0,2855.122499,Song1Pk43(-9.5)63db.wav
32,NOGO,0.76145196,0,0,0,1,2943.952505,Song1Pk43(-9.5)63db.wav
33,GO,1.959105015,1,0,0,0,2969.792485,Song2Pea30(-5.5)63db.wav
34,GO,0,1,0,0,0,3033.952706,Song2Pea30(-5.5)63db.wav
35,NOGO,0.964921951,0,0,0,1,3062.212487,Song1Pk43(-9.5)63db.wav
36,NOGO,0.035597086,0,0,0,1,3158.862538,Song1Pk43(-9.5)63db.wav
37,NOGO,NA,0,0,1,0,3407.702536,Song1Pk43(-9.5)63db.wav
38,NOGO,NA,0,0,1,0,3452.172493,Song1Pk43(-9.5)63db.wav
39,NOGO,NA,0,0,1,0,3511.422524,Song1Pk43(-9.5)63db.wav
40,NOGO,NA,0,0,1,0,3621.88251,Song1Pk43(-9.5)63db.wav
41,GO,NA,0,1,0,0,3757.762488,Song2Pea30(-5.5)63db.wav
42,NOGO,NA,0,0,1,0,3773.872515,Song1Pk43(-9.5)63db.wav
43,GO,NA,0,1,0,0,4066.082507,Song2Pea30(-5.5)63db.wav
44,NOGO,0.490557909,0,0,0,1,7524.982522,Song1Pk43(-9.5)63db.wav
45,GO,0.591495991,1,0,0,0,7738.122537,Song2Pea30(-5.5)63db.wav
46,NOGO,NA,0,0,1,0,8603.732496,Song1Pk43(-9.5)63db.wav
47,GO,1.263808012,1,0,0,0,11246.70249,Song2Pea30(-5.5)63db.wav
48,NOGO,NA,0,0,1,0,11310.71248,Song1Pk43(-9.5)63db.wav
49,GO,NA,0,1,0,0,11504.5225,Song2Pea30(-5.5)63db.wav
50,GO,NA,0,1,0,0,11552.72248,Song2Pea30(-5.5)63db.wav
51,GO,0.525715113,1,0,0,0,11973.14247,Song2Pea30(-5.5)63db.wav
52,NOGO,NA,0,0,1,0,12003.8725,Song1Pk43(-9.5)63db.wav
53,NOGO,NA,0,0,1,0,12020.35249,Song1Pk43(-9.5)63db.wav
54,NOGO,NA,0,0,1,0,14565.16247,Song1Pk43(-9.5)63db.wav
