Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,GO,NA,0,1,0,0,16.9205219745636,Song1Pk43(-9.5)63db.wav
2,GO,0.7759339809417725,1,0,0,0,37.78050994873047,Song1Pk43(-9.5)63db.wav
3,NOGO,1.0097570419311523,0,0,0,1,49.990458965301514,Song2Pea30(-5.5)63db.wav
4,GO,0.6855461597442627,1,0,0,0,161.35016989707947,Song1Pk43(-9.5)63db.wav
5,GO,1.7796409130096436,1,0,0,0,180.40016198158264,Song1Pk43(-9.5)63db.wav
6,NOGO,NA,0,0,1,0,200.07008290290833,Song2Pea30(-5.5)63db.wav
7,NOGO,NA,0,0,1,0,252.9799427986145,Song2Pea30(-5.5)63db.wav
8,GO,0.5980861186981201,1,0,0,0,459.78944396972656,Song1Pk43(-9.5)63db.wav
9,NOGO,0.5540580749511719,0,0,0,1,484.56937289237976,Song2Pea30(-5.5)63db.wav
10,NOGO,1.014847993850708,0,0,0,1,651.7989439964294,Song2Pea30(-5.5)63db.wav
11,GO,NA,0,1,0,0,680.0489127635956,Song1Pk43(-9.5)63db.wav
12,GO,1.5553438663482666,1,0,0,0,772.6086637973785,Song1Pk43(-9.5)63db.wav
13,NOGO,NA,0,0,1,0,806.7585728168488,Song2Pea30(-5.5)63db.wav
14,NOGO,1.2431268692016602,0,0,0,1,819.9485647678375,Song2Pea30(-5.5)63db.wav
15,GO,NA,0,1,0,0,888.228394985199,Song1Pk43(-9.5)63db.wav
16,GO,NA,0,1,0,0,902.3883497714996,Song1Pk43(-9.5)63db.wav
17,NOGO,NA,0,0,1,0,965.6581978797913,Song2Pea30(-5.5)63db.wav
18,NOGO,NA,0,0,1,0,1024.2980589866638,Song2Pea30(-5.5)63db.wav
19,NOGO,1.8641021251678467,0,0,0,1,1045.067983865738,Song2Pea30(-5.5)63db.wav
20,GO,NA,0,1,0,0,1108.597839832306,Song1Pk43(-9.5)63db.wav
21,NOGO,0.8125090599060059,0,0,0,1,1124.537791967392,Song2Pea30(-5.5)63db.wav
22,GO,NA,0,1,0,0,1175.13782787323,Song1Pk43(-9.5)63db.wav
23,GO,0.6129961013793945,1,0,0,0,1192.477823972702,Song1Pk43(-9.5)63db.wav
24,GO,NA,0,1,0,0,1222.077548980713,Song1Pk43(-9.5)63db.wav
25,GO,NA,0,1,0,0,1320.8273458480835,Song1Pk43(-9.5)63db.wav
26,NOGO,NA,0,0,1,0,1363.5872209072113,Song2Pea30(-5.5)63db.wav
27,GO,NA,0,1,0,0,1383.5571608543396,Song1Pk43(-9.5)63db.wav
28,GO,0.8505220413208008,1,0,0,0,1423.247045993805,Song1Pk43(-9.5)63db.wav
29,NOGO,NA,0,0,1,0,1472.7571527957916,Song2Pea30(-5.5)63db.wav
30,NOGO,0.8182520866394043,0,0,0,1,1722.4263789653778,Song2Pea30(-5.5)63db.wav
31,NOGO,NA,0,0,1,0,1749.4763097763062,Song2Pea30(-5.5)63db.wav
32,GO,1.217339038848877,1,0,0,0,1771.61625790596,Song1Pk43(-9.5)63db.wav
33,GO,1.097465991973877,1,0,0,0,1795.8161897659302,Song1Pk43(-9.5)63db.wav
34,NOGO,NA,0,0,1,0,1821.6961178779602,Song2Pea30(-5.5)63db.wav
35,GO,1.7600958347320557,1,0,0,0,1849.0760889053345,Song1Pk43(-9.5)63db.wav
36,GO,NA,0,1,0,0,1874.5660128593445,Song1Pk43(-9.5)63db.wav
37,GO,1.7153589725494385,1,0,0,0,1913.7959008216858,Song1Pk43(-9.5)63db.wav
38,NOGO,NA,0,0,1,0,1966.9858059883118,Song2Pea30(-5.5)63db.wav
39,NOGO,NA,0,0,1,0,2108.415420770645,Song2Pea30(-5.5)63db.wav
40,GO,NA,0,1,0,0,2304.884954929352,Song1Pk43(-9.5)63db.wav
41,NOGO,NA,0,0,1,0,2318.474951982498,Song2Pea30(-5.5)63db.wav
42,GO,1.7161369323730469,1,0,0,0,2336.7548999786377,Song1Pk43(-9.5)63db.wav
43,GO,NA,0,1,0,0,2499.7444949150085,Song1Pk43(-9.5)63db.wav
44,GO,NA,0,1,0,0,2519.564460992813,Song1Pk43(-9.5)63db.wav
45,GO,NA,0,1,0,0,2538.724408864975,Song1Pk43(-9.5)63db.wav
46,NOGO,0.726586103439331,0,0,0,1,2557.064339876175,Song2Pea30(-5.5)63db.wav
47,GO,0.5207479000091553,1,0,0,0,2617.9942088127136,Song1Pk43(-9.5)63db.wav
48,GO,NA,0,1,0,0,2637.8641409873962,Song1Pk43(-9.5)63db.wav
49,GO,1.670475959777832,1,0,0,0,2653.694114923477,Song1Pk43(-9.5)63db.wav
50,NOGO,0.5990071296691895,0,0,0,1,2674.9640638828278,Song2Pea30(-5.5)63db.wav
51,GO,1.6044459342956543,1,0,0,0,2705.7539868354797,Song1Pk43(-9.5)63db.wav
52,GO,0.009426116943359375,1,0,0,0,2782.9137818813324,Song1Pk43(-9.5)63db.wav
53,NOGO,NA,0,0,1,0,2809.093769788742,Song2Pea30(-5.5)63db.wav
54,NOGO,NA,0,0,1,0,2847.8936479091644,Song2Pea30(-5.5)63db.wav
55,GO,NA,0,1,0,0,3578.181898832321,Song1Pk43(-9.5)63db.wav
56,GO,0.9740540981292725,1,0,0,0,4287.950278997421,Song1Pk43(-9.5)63db.wav
57,NOGO,NA,0,0,1,0,4302.830369949341,Song2Pea30(-5.5)63db.wav
58,GO,NA,0,1,0,0,4333.910109996796,Song1Pk43(-9.5)63db.wav
59,GO,0.6735479831695557,1,0,0,0,4414.479909896851,Song1Pk43(-9.5)63db.wav
60,NOGO,1.7123899459838867,0,0,0,1,4429.209914922714,Song2Pea30(-5.5)63db.wav
61,NOGO,1.75626802444458,0,0,0,1,4469.049814939499,Song2Pea30(-5.5)63db.wav
62,GO,0.9928491115570068,1,0,0,0,4500.659749984741,Song1Pk43(-9.5)63db.wav
63,GO,NA,0,1,0,0,4517.599725961685,Song1Pk43(-9.5)63db.wav
64,NOGO,NA,0,0,1,0,4548.629617929459,Song2Pea30(-5.5)63db.wav
65,NOGO,NA,0,0,1,0,4569.589602947235,Song2Pea30(-5.5)63db.wav
66,GO,1.0525109767913818,1,0,0,0,4585.689540863037,Song1Pk43(-9.5)63db.wav
67,GO,NA,0,1,0,0,4628.4094178676605,Song1Pk43(-9.5)63db.wav
68,GO,NA,0,1,0,0,4643.669403791428,Song1Pk43(-9.5)63db.wav
69,GO,0.5929160118103027,1,0,0,0,4661.519353866577,Song1Pk43(-9.5)63db.wav
