Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,7.099302053451538
2,GO,NA,0,1,0,0,22.88924813270569
3,NOGO,NA,0,0,1,0,97.71933007240295
4,GO,0.7455968856811523,1,0,0,0,112.9892680644989
5,GO,NA,0,1,0,0,541.9692451953888
6,GO,1.310600996017456,1,0,0,0,2208.329297065735
7,NOGO,0.8782610893249512,0,0,0,1,2271.0592510700226
8,NOGO,0.42918920516967773,0,0,0,1,2328.6992530822754
9,GO,0.32756900787353516,1,0,0,0,2359.639261007309
10,GO,0.5338361263275146,1,0,0,0,2817.699285030365
11,GO,1.922569990158081,1,0,0,0,2946.659280061722
12,NOGO,NA,0,0,1,0,3032.999263048172
13,GO,NA,0,1,0,0,3210.179263114929
14,NOGO,NA,0,0,1,0,3285.2792501449585
15,NOGO,NA,0,0,1,0,3305.2492711544037
16,NOGO,0.22680020332336426,0,0,0,1,3322.7492690086365
17,NOGO,NA,0,0,1,0,3348.949273109436
18,GO,1.7553629875183105,1,0,0,0,3408.249265193939
19,NOGO,NA,0,0,1,0,3474.69926905632
20,NOGO,NA,0,0,1,0,3494.499284029007
21,GO,0,1,0,0,0,3512.48930311203
22,GO,0.5721909999847412,1,0,0,0,3742.0592651367188
23,NOGO,NA,0,0,1,0,3783.1692531108856
24,GO,0.20214605331420898,1,0,0,0,3800.7392961978912
25,NOGO,NA,0,0,1,0,3913.9592711925507
26,GO,0.8188600540161133,1,0,0,0,3953.269253015518
27,NOGO,0.5301828384399414,0,0,0,1,4108.329311132431
28,GO,NA,0,1,0,0,4161.66925907135
29,GO,0.16324615478515625,1,0,0,0,4206.219254016876
30,GO,NA,0,1,0,0,4316.83926820755
31,GO,0,1,0,0,0,4336.009257078171
32,NOGO,NA,0,0,1,0,4590.45926117897
33,NOGO,NA,0,0,1,0,4610.809277057648
34,GO,0.22494292259216309,1,0,0,0,4625.479271173477
35,NOGO,0,0,0,0,1,4700.999246120453
36,GO,0.8928039073944092,1,0,0,0,4727.079275131226
37,GO,0.15139508247375488,1,0,0,0,5030.8392651081085
38,NOGO,NA,0,0,1,0,5102.479255199432
39,GO,NA,0,1,0,0,5125.599276065826
40,GO,0.40981316566467285,1,0,0,0,5174.489255189896
41,NOGO,1.0217280387878418,0,0,0,1,5251.45925617218
42,NOGO,1.2843599319458008,0,0,0,1,5523.049279212952
43,NOGO,NA,0,0,1,0,5548.949253082275
44,GO,1.482637882232666,1,0,0,0,5562.179252147675
45,NOGO,NA,0,0,1,0,5635.289277076721
46,NOGO,0.41382384300231934,0,0,0,1,5685.0992550849915
47,NOGO,1.8557629585266113,0,0,0,1,5709.519249200821
48,NOGO,NA,0,0,1,0,5737.769265174866
49,GO,0.3052380084991455,1,0,0,0,5811.429274082184
50,GO,NA,0,1,0,0,5933.739253044128
51,GO,0.37098002433776855,1,0,0,0,6106.679277181625
52,NOGO,NA,0,0,1,0,6143.83927321434
53,NOGO,0.6680560111999512,0,0,0,1,6187.859256029129
54,GO,0.4553351402282715,1,0,0,0,6214.849277019501
55,GO,0,1,0,0,0,6414.22925901413
56,GO,NA,0,1,0,0,6488.489243030548
57,GO,1.6643271446228027,1,0,0,0,6516.559265136719
58,NOGO,NA,0,0,1,0,6570.839285135269
59,NOGO,1.4882450103759766,0,0,0,1,6664.829251050949
60,NOGO,NA,0,0,1,0,6732.789270162582
61,GO,0.23871898651123047,1,0,0,0,6747.989268064499
62,NOGO,NA,0,0,1,0,6802.03924202919
63,GO,0,1,0,0,0,6815.589287042618
64,GO,NA,0,1,0,0,6875.239267110825
65,GO,1.3885979652404785,1,0,0,0,6891.339259147644
66,GO,NA,0,1,0,0,7013.569281101227
67,GO,0,1,0,0,0,7057.769289016724
68,NOGO,NA,0,0,1,0,7101.429277181625
69,GO,0.11349201202392578,1,0,0,0,7123.429260015488
70,GO,0.10428404808044434,1,0,0,0,7408.599276065826
71,GO,1.7417049407958984,1,0,0,0,7616.589249134064
72,NOGO,1.5011050701141357,0,0,0,1,7706.469237089157
73,GO,0.3798229694366455,1,0,0,0,7825.0992641448975
74,NOGO,NA,0,0,1,0,7878.9292640686035
75,NOGO,NA,0,0,1,0,7895.589240074158
76,GO,0.17544102668762207,1,0,0,0,7943.079296112061
77,NOGO,NA,0,0,1,0,7964.609251022339
78,NOGO,0.13188385963439941,0,0,0,1,7982.139260053635
79,GO,0.8342828750610352,1,0,0,0,8006.579261064529
80,NOGO,NA,0,0,1,0,8055.289268016815
81,GO,0.5407650470733643,1,0,0,0,8075.729241132736
