Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,1.620170116,0,0,0,1,124.2062361,Song1Pk43(-9.5)63db.wav
2,NOGO,1.908989906,0,0,0,1,165.5161669,Song1Pk43(-9.5)63db.wav
3,GO,0,1,0,0,0,222.446008,Song2Pea30(-5.5)63db.wav
4,GO,0,1,0,0,0,414.225513,Song2Pea30(-5.5)63db.wav
5,NOGO,0.515687943,0,0,0,1,468.295399,Song1Pk43(-9.5)63db.wav
6,GO,1.283151865,1,0,0,0,497.835325,Song2Pea30(-5.5)63db.wav
7,GO,0.407595873,1,0,0,0,522.8452771,Song2Pea30(-5.5)63db.wav
8,GO,0,1,0,0,0,551.5452161,Song2Pea30(-5.5)63db.wav
9,NOGO,1.779690981,0,0,0,1,569.175137,Song1Pk43(-9.5)63db.wav
10,GO,1.079921961,1,0,0,0,1199.223558,Song2Pea30(-5.5)63db.wav
11,NOGO,0.748264074,0,0,0,1,1255.49345,Song1Pk43(-9.5)63db.wav
12,NOGO,NA,0,0,1,0,3821.096986,Song1Pk43(-9.5)63db.wav
13,GO,0.924414873,1,0,0,0,3938.456679,Song2Pea30(-5.5)63db.wav
14,GO,0.573548079,1,0,0,0,4100.796326,Song2Pea30(-5.5)63db.wav
15,GO,NA,0,1,0,0,4298.995822,Song2Pea30(-5.5)63db.wav
16,GO,0,1,0,0,0,4669.794865,Song2Pea30(-5.5)63db.wav
17,NOGO,0.721460819,0,0,0,1,4746.814666,Song1Pk43(-9.5)63db.wav
18,GO,0,1,0,0,0,5370.823107,Song2Pea30(-5.5)63db.wav
19,GO,0.762652159,1,0,0,0,5399.863003,Song2Pea30(-5.5)63db.wav
20,NOGO,0.299260139,0,0,0,1,5469.342843,Song1Pk43(-9.5)63db.wav
21,NOGO,0.739310026,0,0,0,1,5789.582033,Song1Pk43(-9.5)63db.wav
22,GO,NA,0,1,0,0,5840.731903,Song2Pea30(-5.5)63db.wav
23,GO,0.657512903,1,0,0,0,5884.821811,Song2Pea30(-5.5)63db.wav
24,GO,0.360632181,1,0,0,0,5921.831716,Song2Pea30(-5.5)63db.wav
25,NOGO,NA,0,0,1,0,6052.541367,Song1Pk43(-9.5)63db.wav
26,NOGO,0,0,0,0,1,6129.441189,Song1Pk43(-9.5)63db.wav
27,NOGO,NA,0,0,1,0,6157.331121,Song1Pk43(-9.5)63db.wav
28,GO,0.676015139,1,0,0,0,6173.701091,Song2Pea30(-5.5)63db.wav
29,GO,0.004307985,1,0,0,0,6321.220727,Song2Pea30(-5.5)63db.wav
30,GO,0.46236515,1,0,0,0,6400.750509,Song2Pea30(-5.5)63db.wav
31,GO,0.088037014,1,0,0,0,6451.500374,Song2Pea30(-5.5)63db.wav
32,GO,0.230811119,1,0,0,0,6468.900351,Song2Pea30(-5.5)63db.wav
33,GO,0.437212944,1,0,0,0,6642.519919,Song2Pea30(-5.5)63db.wav
34,NOGO,0,0,0,0,1,6722.799718,Song1Pk43(-9.5)63db.wav
35,GO,NA,0,1,0,0,6838.759429,Song2Pea30(-5.5)63db.wav
36,NOGO,0.241535902,0,0,0,1,7272.818338,Song1Pk43(-9.5)63db.wav
37,GO,0.126163006,1,0,0,0,7332.468186,Song2Pea30(-5.5)63db.wav
38,GO,1.087394953,1,0,0,0,7566.847616,Song2Pea30(-5.5)63db.wav
39,GO,0.163020849,1,0,0,0,7590.267577,Song2Pea30(-5.5)63db.wav
40,NOGO,0.107367039,0,0,0,1,7667.497356,Song1Pk43(-9.5)63db.wav
41,NOGO,0.338101864,0,0,0,1,8335.985688,Song1Pk43(-9.5)63db.wav
42,NOGO,NA,0,0,1,0,8630.154938,Song1Pk43(-9.5)63db.wav
43,NOGO,1.791994095,0,0,0,1,8937.694155,Song1Pk43(-9.5)63db.wav
44,GO,0,1,0,0,0,8965.004159,Song2Pea30(-5.5)63db.wav
45,GO,0.597596884,1,0,0,0,8991.814031,Song2Pea30(-5.5)63db.wav
46,GO,0.117136002,1,0,0,0,9039.443904,Song2Pea30(-5.5)63db.wav
47,NOGO,1.272219181,0,0,0,1,9063.663862,Song1Pk43(-9.5)63db.wav
48,GO,0.27573514,1,0,0,0,9192.033534,Song2Pea30(-5.5)63db.wav
49,GO,NA,0,1,0,0,9208.443503,Song2Pea30(-5.5)63db.wav
50,NOGO,1.488553047,0,0,0,1,9378.10308,Song1Pk43(-9.5)63db.wav
51,GO,1.489024162,1,0,0,0,9434.602932,Song2Pea30(-5.5)63db.wav
52,GO,0.162175894,1,0,0,0,9756.672118,Song2Pea30(-5.5)63db.wav
53,GO,0.267735004,1,0,0,0,10076.89133,Song2Pea30(-5.5)63db.wav
54,NOGO,0.074965,0,0,0,1,10170.3611,Song1Pk43(-9.5)63db.wav
55,GO,0.283473969,1,0,0,0,10668.87983,Song2Pea30(-5.5)63db.wav
56,GO,NA,0,1,0,0,10709.85975,Song2Pea30(-5.5)63db.wav
57,GO,0,1,0,0,0,10960.88911,Song2Pea30(-5.5)63db.wav
58,NOGO,1.119668961,0,0,0,1,11003.90916,Song1Pk43(-9.5)63db.wav
59,GO,0,1,0,0,0,11038.57893,Song2Pea30(-5.5)63db.wav
60,GO,1.259400845,1,0,0,0,11111.83874,Song2Pea30(-5.5)63db.wav
61,GO,1.819688082,1,0,0,0,11129.32871,Song2Pea30(-5.5)63db.wav
62,GO,0.112971067,1,0,0,0,11208.05851,Song2Pea30(-5.5)63db.wav
63,GO,0,1,0,0,0,11245.6484,Song2Pea30(-5.5)63db.wav
64,NOGO,1.065453053,0,0,0,1,11285.8583,Song1Pk43(-9.5)63db.wav
65,GO,0.279374123,1,0,0,0,11341.60818,Song2Pea30(-5.5)63db.wav
66,NOGO,0.459197998,0,0,0,1,11378.99809,Song1Pk43(-9.5)63db.wav
67,GO,0,1,0,0,0,11438.66795,Song2Pea30(-5.5)63db.wav
68,GO,0.683429003,1,0,0,0,11454.75791,Song2Pea30(-5.5)63db.wav
69,NOGO,0.27133894,0,0,0,1,11502.37778,Song1Pk43(-9.5)63db.wav
70,GO,0.232492924,1,0,0,0,11534.35769,Song2Pea30(-5.5)63db.wav
71,NOGO,0,0,0,0,1,11619.14752,Song1Pk43(-9.5)63db.wav
72,NOGO,NA,0,0,1,0,11676.14737,Song1Pk43(-9.5)63db.wav
73,NOGO,0.600464821,0,0,0,1,11695.16734,Song1Pk43(-9.5)63db.wav
74,NOGO,0.415107965,0,0,0,1,11732.19722,Song1Pk43(-9.5)63db.wav
75,NOGO,0.665313005,0,0,0,1,11757.07715,Song1Pk43(-9.5)63db.wav
76,GO,NA,0,1,0,0,11782.20713,Song2Pea30(-5.5)63db.wav
77,GO,0.047361135,1,0,0,0,11796.95705,Song2Pea30(-5.5)63db.wav
78,GO,NA,0,1,0,0,11813.11701,Song2Pea30(-5.5)63db.wav
79,NOGO,0.486418009,0,0,0,1,11829.20699,Song1Pk43(-9.5)63db.wav
80,GO,NA,0,1,0,0,11915.61677,Song2Pea30(-5.5)63db.wav
81,GO,1.464439869,1,0,0,0,12433.37545,Song2Pea30(-5.5)63db.wav
82,NOGO,0.578587055,0,0,0,1,12465.77544,Song1Pk43(-9.5)63db.wav
83,GO,0.132059097,1,0,0,0,12489.94533,Song2Pea30(-5.5)63db.wav
84,GO,0.035516977,1,0,0,0,12534.5552,Song2Pea30(-5.5)63db.wav
85,NOGO,NA,0,0,1,0,12577.11511,Song1Pk43(-9.5)63db.wav
86,NOGO,0.100348949,0,0,0,1,12622.76501,Song1Pk43(-9.5)63db.wav
87,NOGO,1.805167913,0,0,0,1,12684.52483,Song1Pk43(-9.5)63db.wav
88,NOGO,0.25087595,0,0,0,1,12709.71481,Song1Pk43(-9.5)63db.wav
89,NOGO,0.047451973,0,0,0,1,12734.18471,Song1Pk43(-9.5)63db.wav
90,GO,0,1,0,0,0,12771.55461,Song2Pea30(-5.5)63db.wav
91,GO,0.54746294,1,0,0,0,12791.54458,Song2Pea30(-5.5)63db.wav
92,NOGO,NA,0,0,1,0,12869.62437,Song1Pk43(-9.5)63db.wav
93,NOGO,0.126399994,0,0,0,1,13237.52344,Song1Pk43(-9.5)63db.wav
94,GO,NA,0,1,0,0,13489.25283,Song2Pea30(-5.5)63db.wav
95,NOGO,NA,0,0,1,0,13749.71218,Song1Pk43(-9.5)63db.wav
96,GO,0,1,0,0,0,13789.89205,Song2Pea30(-5.5)63db.wav
97,NOGO,NA,0,0,1,0,13804.15204,Song1Pk43(-9.5)63db.wav
98,NOGO,0.59564805,0,0,0,1,13842.43193,Song1Pk43(-9.5)63db.wav
99,NOGO,NA,0,0,1,0,14116.63124,Song1Pk43(-9.5)63db.wav
100,GO,0.437851906,1,0,0,0,14970.71913,Song2Pea30(-5.5)63db.wav
101,GO,0.788738012,1,0,0,0,15324.02824,Song2Pea30(-5.5)63db.wav
102,NOGO,NA,0,0,1,0,15357.29817,Song1Pk43(-9.5)63db.wav
103,GO,0.346257925,1,0,0,0,15389.66808,Song2Pea30(-5.5)63db.wav
104,NOGO,0.379215956,0,0,0,1,15425.17799,Song1Pk43(-9.5)63db.wav
105,NOGO,1.236763,0,0,0,1,15483.31787,Song1Pk43(-9.5)63db.wav
106,GO,NA,0,1,0,0,15521.77776,Song2Pea30(-5.5)63db.wav
107,GO,0.244817972,1,0,0,0,16059.3564,Song2Pea30(-5.5)63db.wav
108,NOGO,NA,0,0,1,0,16170.88613,Song1Pk43(-9.5)63db.wav
109,NOGO,NA,0,0,1,0,16242.79597,Song1Pk43(-9.5)63db.wav
110,NOGO,0,0,0,0,1,16256.73591,Song1Pk43(-9.5)63db.wav
111,NOGO,0.400871038,0,0,0,1,16289.17584,Song1Pk43(-9.5)63db.wav
112,GO,NA,0,1,0,0,16314.29581,Song2Pea30(-5.5)63db.wav
113,NOGO,NA,0,0,1,0,16344.97572,Song1Pk43(-9.5)63db.wav
114,NOGO,0.365266085,0,0,0,1,16361.98564,Song1Pk43(-9.5)63db.wav
115,NOGO,1.46612215,0,0,0,1,16388.6156,Song1Pk43(-9.5)63db.wav
116,GO,1.581094027,1,0,0,0,16427.77549,Song2Pea30(-5.5)63db.wav
117,NOGO,0.353648901,0,0,0,1,16483.50534,Song1Pk43(-9.5)63db.wav
118,NOGO,1.322945833,0,0,0,1,16540.61522,Song1Pk43(-9.5)63db.wav
119,NOGO,NA,0,0,1,0,16571.85531,Song1Pk43(-9.5)63db.wav
120,NOGO,NA,0,0,1,0,16926.74425,Song1Pk43(-9.5)63db.wav
