Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,NA,0,0,1,0,34.80693507,Song1Pk43(-9.5)63db.wav
2,GO,0.23409605,1,0,0,0,48.59689999,Song2Pea30(-5.5)63db.wav
3,GO,0.061156034,1,0,0,0,64.08684516,Song2Pea30(-5.5)63db.wav
4,NOGO,0.157469988,0,0,0,1,77.41680598,Song1Pk43(-9.5)63db.wav
5,GO,0.226202011,1,0,0,0,104.206773,Song2Pea30(-5.5)63db.wav
6,GO,0,1,0,0,0,118.9266989,Song2Pea30(-5.5)63db.wav
7,GO,NA,0,1,0,0,132.5566611,Song2Pea30(-5.5)63db.wav
8,GO,0.544576168,1,0,0,0,150.8866479,Song2Pea30(-5.5)63db.wav
9,GO,0.115071058,1,0,0,0,164.2366011,Song2Pea30(-5.5)63db.wav
10,GO,NA,0,1,0,0,184.076525,Song2Pea30(-5.5)63db.wav
11,GO,1.272902012,1,0,0,0,197.706517,Song2Pea30(-5.5)63db.wav
12,NOGO,1.309828043,0,0,0,1,211.4064801,Song1Pk43(-9.5)63db.wav
13,GO,0.214216948,1,0,0,0,495.4457309,Song2Pea30(-5.5)63db.wav
14,NOGO,0.680134058,0,0,0,1,538.51563,Song1Pk43(-9.5)63db.wav
15,NOGO,NA,0,0,1,0,562.655561,Song1Pk43(-9.5)63db.wav
16,GO,NA,0,1,0,0,595.3154681,Song2Pea30(-5.5)63db.wav
17,NOGO,0.110931158,0,0,0,1,611.545465,Song1Pk43(-9.5)63db.wav
18,GO,0.343648911,1,0,0,0,642.8053691,Song2Pea30(-5.5)63db.wav
19,GO,0.538968086,1,0,0,0,653.885318,Song2Pea30(-5.5)63db.wav
20,GO,NA,0,1,0,0,677.155287,Song2Pea30(-5.5)63db.wav
21,NOGO,NA,0,0,1,0,695.385227,Song1Pk43(-9.5)63db.wav
22,NOGO,0.498696089,0,0,0,1,710.485178,Song1Pk43(-9.5)63db.wav
23,NOGO,0.529383898,0,0,0,1,739.5651221,Song1Pk43(-9.5)63db.wav
24,GO,0.765681028,1,0,0,0,766.115056,Song2Pea30(-5.5)63db.wav
25,NOGO,NA,0,0,1,0,781.404999,Song1Pk43(-9.5)63db.wav
26,GO,1.513591051,1,0,0,0,803.5649531,Song2Pea30(-5.5)63db.wav
27,NOGO,NA,0,0,1,0,824.784899,Song1Pk43(-9.5)63db.wav
28,NOGO,NA,0,0,1,0,891.234715,Song1Pk43(-9.5)63db.wav
29,NOGO,NA,0,0,1,0,923.9746511,Song1Pk43(-9.5)63db.wav
