Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,GO,0.199335098,1,0,0,0,6.675763845,Song1Pk43(-9.5)63db.wav
2,GO,NA,0,1,0,0,26.21570802,Song1Pk43(-9.5)63db.wav
3,GO,1.269065857,1,0,0,0,40.10570002,Song1Pk43(-9.5)63db.wav
4,NOGO,0.770210981,0,0,0,1,54.85565901,Song2Pea30(-5.5)63db.wav
5,GO,1.776279211,1,0,0,0,84.74558187,Song1Pk43(-9.5)63db.wav
6,GO,0.502955914,1,0,0,0,115.765537,Song1Pk43(-9.5)63db.wav
7,GO,0.076534986,1,0,0,0,145.755477,Song1Pk43(-9.5)63db.wav
8,NOGO,0.08800602,0,0,0,1,167.9554229,Song2Pea30(-5.5)63db.wav
9,NOGO,0.657460928,0,0,0,1,205.055563,Song2Pea30(-5.5)63db.wav
10,GO,0.350730896,1,0,0,0,288.315202,Song1Pk43(-9.5)63db.wav
11,GO,0.184013844,1,0,0,0,314.6751418,Song1Pk43(-9.5)63db.wav
12,GO,0.694018126,1,0,0,0,335.6950929,Song1Pk43(-9.5)63db.wav
13,GO,0.392045021,1,0,0,0,365.365052,Song1Pk43(-9.5)63db.wav
14,NOGO,0.63017416,0,0,0,1,385.6649959,Song2Pea30(-5.5)63db.wav
15,NOGO,0.047960043,0,0,0,1,420.6649158,Song2Pea30(-5.5)63db.wav
16,NOGO,0.467908859,0,0,0,1,483.8448038,Song2Pea30(-5.5)63db.wav
17,GO,0.523334026,1,0,0,0,510.4547548,Song1Pk43(-9.5)63db.wav
18,NOGO,0.390119076,0,0,0,1,534.3046789,Song2Pea30(-5.5)63db.wav
19,GO,NA,0,1,0,0,559.794652,Song1Pk43(-9.5)63db.wav
20,NOGO,1.806260109,0,0,0,1,641.8444829,Song2Pea30(-5.5)63db.wav
21,NOGO,NA,0,0,1,0,675.264406,Song2Pea30(-5.5)63db.wav
22,GO,NA,0,1,0,0,774.5542169,Song1Pk43(-9.5)63db.wav
23,NOGO,0.101648092,0,0,0,1,791.634166,Song2Pea30(-5.5)63db.wav
24,NOGO,NA,0,0,1,0,815.314111,Song2Pea30(-5.5)63db.wav
25,GO,0.558096886,1,0,0,0,838.3542578,Song1Pk43(-9.5)63db.wav
26,NOGO,0.505759954,0,0,0,1,856.344033,Song2Pea30(-5.5)63db.wav
27,NOGO,NA,0,0,1,0,923.7838929,Song2Pea30(-5.5)63db.wav
28,NOGO,NA,0,0,1,0,1065.523612,Song2Pea30(-5.5)63db.wav
29,GO,NA,0,1,0,0,1295.623124,Song1Pk43(-9.5)63db.wav
30,NOGO,1.935267925,0,0,0,1,1309.12308,Song2Pea30(-5.5)63db.wav
31,GO,0.031379938,1,0,0,0,1369.082979,Song1Pk43(-9.5)63db.wav
32,NOGO,0.19325304,0,0,0,1,1387.10295,Song2Pea30(-5.5)63db.wav
33,NOGO,0.509354115,0,0,0,1,1414.832883,Song2Pea30(-5.5)63db.wav
34,GO,0.761242867,1,0,0,0,1521.962669,Song1Pk43(-9.5)63db.wav
35,GO,0.268634796,1,0,0,0,1549.842602,Song1Pk43(-9.5)63db.wav
36,NOGO,0.756920815,0,0,0,1,1578.412537,Song2Pea30(-5.5)63db.wav
37,NOGO,0.865230083,0,0,0,1,1660.172384,Song2Pea30(-5.5)63db.wav
38,NOGO,0.554167986,0,0,0,1,1734.002219,Song2Pea30(-5.5)63db.wav
39,GO,0.713366032,1,0,0,0,1784.292095,Song1Pk43(-9.5)63db.wav
40,GO,0.311776876,1,0,0,0,2022.821618,Song1Pk43(-9.5)63db.wav
41,GO,0.823707104,1,0,0,0,2164.221305,Song1Pk43(-9.5)63db.wav
42,NOGO,NA,0,0,1,0,2221.171177,Song2Pea30(-5.5)63db.wav
43,NOGO,0.265856981,0,0,0,1,2265.661103,Song2Pea30(-5.5)63db.wav
44,NOGO,1.117267847,0,0,0,1,2422.470766,Song2Pea30(-5.5)63db.wav
45,NOGO,0.584773064,0,0,0,1,2449.710701,Song2Pea30(-5.5)63db.wav
46,GO,0.597796917,1,0,0,0,2508.670589,Song1Pk43(-9.5)63db.wav
47,NOGO,0.726902008,0,0,0,1,2548.660498,Song2Pea30(-5.5)63db.wav
48,NOGO,NA,0,0,1,0,2589.870413,Song2Pea30(-5.5)63db.wav
49,GO,0.459299088,1,0,0,0,2659.280284,Song1Pk43(-9.5)63db.wav
50,GO,NA,0,1,0,0,2716.650152,Song1Pk43(-9.5)63db.wav
51,GO,0.070842981,1,0,0,0,2764.190046,Song1Pk43(-9.5)63db.wav
52,GO,0.698267937,1,0,0,0,2985.439596,Song1Pk43(-9.5)63db.wav
53,GO,0.250581026,1,0,0,0,3012.799551,Song1Pk43(-9.5)63db.wav
54,NOGO,0.101364136,0,0,0,1,3034.05948,Song2Pea30(-5.5)63db.wav
55,GO,NA,0,1,0,0,3117.479328,Song1Pk43(-9.5)63db.wav
56,GO,0.398394108,1,0,0,0,3198.329141,Song1Pk43(-9.5)63db.wav
57,GO,NA,0,1,0,0,3302.338907,Song1Pk43(-9.5)63db.wav
58,GO,0.095006943,1,0,0,0,3317.038909,Song1Pk43(-9.5)63db.wav
59,GO,NA,0,1,0,0,3353.908819,Song1Pk43(-9.5)63db.wav
60,GO,0.46368289,1,0,0,0,3414.688682,Song1Pk43(-9.5)63db.wav
61,NOGO,NA,0,0,1,0,3497.698521,Song2Pea30(-5.5)63db.wav
62,NOGO,0.546252966,0,0,0,1,3524.258496,Song2Pea30(-5.5)63db.wav
63,GO,NA,0,1,0,0,3573.828349,Song1Pk43(-9.5)63db.wav
64,GO,0.966082096,1,0,0,0,3605.958273,Song1Pk43(-9.5)63db.wav
65,GO,NA,0,1,0,0,3629.958249,Song1Pk43(-9.5)63db.wav
66,GO,NA,0,1,0,0,3674.088132,Song1Pk43(-9.5)63db.wav
67,NOGO,0.530652046,0,0,0,1,3712.618041,Song2Pea30(-5.5)63db.wav
68,GO,0.979068995,1,0,0,0,3754.987988,Song1Pk43(-9.5)63db.wav
69,NOGO,NA,0,0,1,0,3815.747854,Song2Pea30(-5.5)63db.wav
70,GO,NA,0,1,0,0,3902.127653,Song1Pk43(-9.5)63db.wav
71,NOGO,0.896332026,0,0,0,1,3946.667585,Song2Pea30(-5.5)63db.wav
72,GO,NA,0,1,0,0,3975.017511,Song1Pk43(-9.5)63db.wav
73,NOGO,NA,0,0,1,0,4006.947438,Song2Pea30(-5.5)63db.wav
74,NOGO,1.679978848,0,0,0,1,4062.667526,Song2Pea30(-5.5)63db.wav
75,GO,0.611985207,1,0,0,0,4171.037116,Song1Pk43(-9.5)63db.wav
76,GO,0.507868052,1,0,0,0,4269.096905,Song1Pk43(-9.5)63db.wav
77,GO,NA,0,1,0,0,4303.256837,Song1Pk43(-9.5)63db.wav
78,NOGO,1.119481802,0,0,0,1,4396.776641,Song2Pea30(-5.5)63db.wav
79,NOGO,0.117475033,0,0,0,1,4438.866544,Song2Pea30(-5.5)63db.wav
80,NOGO,NA,0,0,1,0,4470.496501,Song2Pea30(-5.5)63db.wav
81,GO,NA,0,1,0,0,4549.076324,Song1Pk43(-9.5)63db.wav
82,NOGO,NA,0,0,1,0,4588.936245,Song2Pea30(-5.5)63db.wav
83,NOGO,NA,0,0,1,0,4650.746128,Song2Pea30(-5.5)63db.wav
84,GO,NA,0,1,0,0,4671.076072,Song1Pk43(-9.5)63db.wav
85,GO,0.706640005,1,0,0,0,4718.545964,Song1Pk43(-9.5)63db.wav
86,NOGO,NA,0,0,1,0,4840.415899,Song2Pea30(-5.5)63db.wav
87,GO,NA,0,1,0,0,4947.595489,Song1Pk43(-9.5)63db.wav
88,NOGO,NA,0,0,1,0,4961.275463,Song2Pea30(-5.5)63db.wav
89,GO,1.493474007,1,0,0,0,5081.415187,Song1Pk43(-9.5)63db.wav
90,GO,0.985131025,1,0,0,0,5126.995127,Song1Pk43(-9.5)63db.wav
91,GO,0.678906918,1,0,0,0,5199.484965,Song1Pk43(-9.5)63db.wav
92,NOGO,NA,0,0,1,0,5230.744902,Song2Pea30(-5.5)63db.wav
93,NOGO,NA,0,0,1,0,5305.60475,Song2Pea30(-5.5)63db.wav
94,GO,1.679188967,1,0,0,0,5320.414711,Song1Pk43(-9.5)63db.wav
95,GO,0.402282,1,0,0,0,5346.364648,Song1Pk43(-9.5)63db.wav
96,GO,0.321785927,1,0,0,0,5374.184793,Song1Pk43(-9.5)63db.wav
97,NOGO,NA,0,0,1,0,5520.884289,Song2Pea30(-5.5)63db.wav
98,GO,0.47480607,1,0,0,0,5539.134245,Song1Pk43(-9.5)63db.wav
99,GO,0.621822834,1,0,0,0,5557.864236,Song1Pk43(-9.5)63db.wav
100,GO,1.617367983,1,0,0,0,5592.374152,Song1Pk43(-9.5)63db.wav
101,GO,0.296432972,1,0,0,0,5772.75382,Song1Pk43(-9.5)63db.wav
102,NOGO,NA,0,0,1,0,5809.06371,Song2Pea30(-5.5)63db.wav
103,GO,NA,0,1,0,0,5822.53368,Song1Pk43(-9.5)63db.wav
104,NOGO,NA,0,0,1,0,5836.253649,Song2Pea30(-5.5)63db.wav
105,NOGO,0.410281897,0,0,0,1,6510.462222,Song2Pea30(-5.5)63db.wav
106,NOGO,0.603724957,0,0,0,1,6572.172103,Song2Pea30(-5.5)63db.wav
107,NOGO,NA,0,0,1,0,6612.302026,Song2Pea30(-5.5)63db.wav
108,NOGO,NA,0,0,1,0,6642.861959,Song2Pea30(-5.5)63db.wav
109,GO,0.155982971,1,0,0,0,6705.50182,Song1Pk43(-9.5)63db.wav
110,GO,NA,0,1,0,0,6768.001678,Song1Pk43(-9.5)63db.wav
111,NOGO,0.641149998,0,0,0,1,6792.791633,Song2Pea30(-5.5)63db.wav
112,GO,NA,0,1,0,0,6836.061538,Song1Pk43(-9.5)63db.wav
113,NOGO,NA,0,0,1,0,6860.771481,Song2Pea30(-5.5)63db.wav
114,GO,0.350401878,1,0,0,0,6873.331444,Song1Pk43(-9.5)63db.wav
115,NOGO,0.561630011,0,0,0,1,6890.221426,Song2Pea30(-5.5)63db.wav
116,GO,NA,0,1,0,0,6917.811373,Song1Pk43(-9.5)63db.wav
117,NOGO,0.715532064,0,0,0,1,6949.451291,Song2Pea30(-5.5)63db.wav
118,GO,0.464715958,1,0,0,0,6994.581235,Song1Pk43(-9.5)63db.wav
119,GO,1.968645096,1,0,0,0,7019.911161,Song1Pk43(-9.5)63db.wav
120,NOGO,NA,0,0,1,0,7079.161027,Song2Pea30(-5.5)63db.wav
121,NOGO,NA,0,0,1,0,7093.851015,Song2Pea30(-5.5)63db.wav
122,GO,NA,0,1,0,0,7112.130965,Song1Pk43(-9.5)63db.wav
123,NOGO,0.255687952,0,0,0,1,7174.150829,Song2Pea30(-5.5)63db.wav
124,NOGO,1.643733978,0,0,0,1,7221.320746,Song2Pea30(-5.5)63db.wav
125,NOGO,NA,0,0,1,0,7248.68069,Song2Pea30(-5.5)63db.wav
126,NOGO,NA,0,0,1,0,7273.980626,Song2Pea30(-5.5)63db.wav
127,NOGO,0.471805811,0,0,0,1,7287.890618,Song2Pea30(-5.5)63db.wav
128,NOGO,0.855092049,0,0,0,1,7311.680556,Song2Pea30(-5.5)63db.wav
129,GO,0.192970991,1,0,0,0,7358.020449,Song1Pk43(-9.5)63db.wav
130,NOGO,0.538743973,0,0,0,1,7376.380516,Song2Pea30(-5.5)63db.wav
131,NOGO,NA,0,0,1,0,7401.010374,Song2Pea30(-5.5)63db.wav
132,NOGO,0.402043104,0,0,0,1,7431.400291,Song2Pea30(-5.5)63db.wav
133,NOGO,1.660433054,0,0,0,1,7466.370237,Song2Pea30(-5.5)63db.wav
134,GO,0.072096109,1,0,0,0,7496.130169,Song1Pk43(-9.5)63db.wav
135,GO,0.322350025,1,0,0,0,7526.730098,Song1Pk43(-9.5)63db.wav
136,NOGO,NA,0,0,1,0,7553.91007,Song2Pea30(-5.5)63db.wav
137,NOGO,NA,0,0,1,0,7583.999994,Song2Pea30(-5.5)63db.wav
138,NOGO,NA,0,0,1,0,7617.199912,Song2Pea30(-5.5)63db.wav
139,NOGO,NA,0,0,1,0,7639.979886,Song2Pea30(-5.5)63db.wav
140,NOGO,NA,0,0,1,0,7676.689795,Song2Pea30(-5.5)63db.wav
141,NOGO,NA,0,0,1,0,7729.11968,Song2Pea30(-5.5)63db.wav
142,NOGO,NA,0,0,1,0,7907.509323,Song2Pea30(-5.5)63db.wav
143,GO,NA,0,1,0,0,8228.688806,Song1Pk43(-9.5)63db.wav
144,GO,0.488661051,1,0,0,0,8301.728473,Song1Pk43(-9.5)63db.wav
145,GO,1.68591404,1,0,0,0,8430.308194,Song1Pk43(-9.5)63db.wav
146,GO,NA,0,1,0,0,8728.857596,Song1Pk43(-9.5)63db.wav
147,GO,0.489060163,1,0,0,0,8745.977552,Song1Pk43(-9.5)63db.wav
148,NOGO,NA,0,0,1,0,8802.727411,Song2Pea30(-5.5)63db.wav
149,GO,NA,0,1,0,0,8843.577343,Song1Pk43(-9.5)63db.wav
150,NOGO,0.907109022,0,0,0,1,8890.747416,Song2Pea30(-5.5)63db.wav
151,NOGO,NA,0,0,1,0,8923.587166,Song2Pea30(-5.5)63db.wav
152,NOGO,0.858669043,0,0,0,1,8941.127158,Song2Pea30(-5.5)63db.wav
153,NOGO,0.733731031,0,0,0,1,8965.377104,Song2Pea30(-5.5)63db.wav
154,GO,NA,0,1,0,0,9011.157003,Song1Pk43(-9.5)63db.wav
155,GO,0.241868973,1,0,0,0,9057.816921,Song1Pk43(-9.5)63db.wav
156,NOGO,0.451076984,0,0,0,1,9127.656765,Song2Pea30(-5.5)63db.wav
157,NOGO,1.413473129,0,0,0,1,9395.316186,Song2Pea30(-5.5)63db.wav
158,GO,0.549422026,1,0,0,0,9421.746162,Song1Pk43(-9.5)63db.wav
159,NOGO,NA,0,0,1,0,9440.236101,Song2Pea30(-5.5)63db.wav
160,NOGO,1.52818799,0,0,0,1,9476.716019,Song2Pea30(-5.5)63db.wav
161,GO,0.349402905,1,0,0,0,9501.815983,Song1Pk43(-9.5)63db.wav
162,GO,1.110717058,1,0,0,0,9515.925948,Song1Pk43(-9.5)63db.wav
163,NOGO,1.189842939,0,0,0,1,9541.105877,Song2Pea30(-5.5)63db.wav
164,GO,0.266532898,1,0,0,0,9580.355818,Song1Pk43(-9.5)63db.wav
165,NOGO,NA,0,0,1,0,9610.265742,Song2Pea30(-5.5)63db.wav
166,NOGO,0.337278128,0,0,0,1,9632.315692,Song2Pea30(-5.5)63db.wav
167,NOGO,NA,0,0,1,0,9658.115659,Song2Pea30(-5.5)63db.wav
168,NOGO,0.611341953,0,0,0,1,9674.285611,Song2Pea30(-5.5)63db.wav
169,GO,0.742655993,1,0,0,0,9707.525543,Song1Pk43(-9.5)63db.wav
170,GO,0.857024908,1,0,0,0,9767.105437,Song1Pk43(-9.5)63db.wav
171,NOGO,NA,0,0,1,0,9808.205341,Song2Pea30(-5.5)63db.wav
172,NOGO,1.248779058,0,0,0,1,9927.635093,Song2Pea30(-5.5)63db.wav
173,GO,0.338788033,1,0,0,0,9991.534985,Song1Pk43(-9.5)63db.wav
174,GO,0.358944893,1,0,0,0,10161.36463,Song1Pk43(-9.5)63db.wav
175,NOGO,NA,0,0,1,0,10255.21443,Song2Pea30(-5.5)63db.wav
176,NOGO,0.487413883,0,0,0,1,10270.91441,Song2Pea30(-5.5)63db.wav
177,GO,NA,0,1,0,0,10315.13432,Song1Pk43(-9.5)63db.wav
178,GO,0.415858984,1,0,0,0,10340.78429,Song1Pk43(-9.5)63db.wav
179,NOGO,0.629681826,0,0,0,1,10429.69409,Song2Pea30(-5.5)63db.wav
180,GO,NA,0,1,0,0,10473.764,Song1Pk43(-9.5)63db.wav
181,GO,1.569873095,1,0,0,0,10511.8039,Song1Pk43(-9.5)63db.wav
182,NOGO,NA,0,0,1,0,10568.71377,Song2Pea30(-5.5)63db.wav
183,GO,NA,0,1,0,0,10600.62372,Song1Pk43(-9.5)63db.wav
184,NOGO,1.016138077,0,0,0,1,10642.19362,Song2Pea30(-5.5)63db.wav
185,GO,NA,0,1,0,0,10674.86355,Song1Pk43(-9.5)63db.wav
186,NOGO,NA,0,0,1,0,10698.19352,Song2Pea30(-5.5)63db.wav
187,GO,NA,0,1,0,0,10713.10349,Song1Pk43(-9.5)63db.wav
188,NOGO,NA,0,0,1,0,10740.99342,Song2Pea30(-5.5)63db.wav
189,GO,NA,0,1,0,0,10762.62343,Song1Pk43(-9.5)63db.wav
190,GO,NA,0,1,0,0,10811.2833,Song1Pk43(-9.5)63db.wav
191,NOGO,NA,0,0,1,0,10838.26325,Song2Pea30(-5.5)63db.wav
192,GO,NA,0,1,0,0,10856.47323,Song1Pk43(-9.5)63db.wav
193,NOGO,NA,0,0,1,0,10884.87312,Song2Pea30(-5.5)63db.wav
194,NOGO,NA,0,0,1,0,10919.95324,Song2Pea30(-5.5)63db.wav
195,GO,NA,0,1,0,0,10933.39304,Song1Pk43(-9.5)63db.wav
196,NOGO,1.592516184,0,0,0,1,10960.72313,Song2Pea30(-5.5)63db.wav
197,NOGO,NA,0,0,1,0,10995.11289,Song2Pea30(-5.5)63db.wav
198,NOGO,0.378241777,0,0,0,1,11011.58289,Song2Pea30(-5.5)63db.wav
199,NOGO,NA,0,0,1,0,11051.1828,Song2Pea30(-5.5)63db.wav
200,GO,1.769096851,1,0,0,0,11204.61247,Song1Pk43(-9.5)63db.wav
201,GO,NA,0,1,0,0,11500.45186,Song1Pk43(-9.5)63db.wav
202,NOGO,NA,0,0,1,0,11550.02176,Song2Pea30(-5.5)63db.wav
203,NOGO,NA,0,0,1,0,11582.44169,Song2Pea30(-5.5)63db.wav
204,GO,NA,0,1,0,0,11612.90161,Song1Pk43(-9.5)63db.wav
205,GO,0.395687819,1,0,0,0,11650.57156,Song1Pk43(-9.5)63db.wav
206,GO,NA,0,1,0,0,11696.77145,Song1Pk43(-9.5)63db.wav
207,GO,0.247358084,1,0,0,0,11820.6712,Song1Pk43(-9.5)63db.wav
208,NOGO,NA,0,0,1,0,11846.50115,Song2Pea30(-5.5)63db.wav
