Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,4.756605863571167
2,GO,0.9204719066619873,1,0,0,0,17.31650400161743
3,NOGO,0.6871030330657959,0,0,0,1,35.52653789520264
4,GO,1.890166997909546,1,0,0,0,61.34660196304321
5,NOGO,0.20578598976135254,0,0,0,1,97.28669595718384
6,NOGO,0.2548828125,0,0,0,1,120.34671878814697
7,GO,1.3639440536499023,1,0,0,0,144.57678699493408
8,GO,0.09144091606140137,1,0,0,0,158.97713494300842
9,GO,0.9952960014343262,1,0,0,0,175.12687397003174
10,NOGO,1.0188219547271729,0,0,0,1,190.53689289093018
11,GO,NA,0,1,0,0,215.79703879356384
12,NOGO,NA,0,0,1,0,232.03708481788635
13,NOGO,NA,0,0,1,0,262.1571078300476
14,NOGO,0,0,0,0,1,309.837201833725
15,GO,0.6055769920349121,1,0,0,0,338.0072247982025
16,GO,NA,0,1,0,0,353.4972858428955
17,NOGO,NA,0,0,1,0,372.33734583854675
18,NOGO,1.9094610214233398,0,0,0,1,390.5773448944092
19,GO,NA,0,1,0,0,415.50738883018494
20,GO,NA,0,1,0,0,433.9974629878998
21,GO,0,1,0,0,0,451.80748295783997
22,NOGO,0,0,0,0,1,470.04753398895264
23,GO,0.8359649181365967,1,0,0,0,501.0975909233093
24,GO,NA,0,1,0,0,518.1276218891144
25,GO,0.46756887435913086,1,0,0,0,533.927652835846
26,GO,NA,0,1,0,0,550.5776908397675
27,GO,0,1,0,0,0,570.237744808197
28,GO,NA,0,1,0,0,583.9977748394012
29,GO,0.816288948059082,1,0,0,0,621.1778569221497
30,NOGO,NA,0,0,1,0,653.9779558181763
31,NOGO,NA,0,0,1,0,684.6080048084259
32,NOGO,0.008914947509765625,0,0,0,1,727.9281330108643
33,GO,NA,0,1,0,0,757.7281999588013
34,NOGO,NA,0,0,1,0,804.0983209609985
35,NOGO,NA,0,0,1,0,897.2384948730469
36,NOGO,1.7861199378967285,0,0,0,1,919.2285499572754
37,NOGO,NA,0,0,1,0,959.2086269855499
38,GO,0.5990338325500488,1,0,0,0,1016.0287578105927
39,NOGO,NA,0,0,1,0,1039.0788118839264
40,GO,0.7236230373382568,1,0,0,0,1080.6088979244232
41,GO,NA,0,1,0,0,1113.1389858722687
42,GO,NA,0,1,0,0,1132.199028968811
43,GO,1.7559669017791748,1,0,0,0,1157.2190690040588
44,NOGO,NA,0,0,1,0,1175.1191198825836
45,NOGO,NA,0,0,1,0,1193.5091569423676
