Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,3.5859358310699463
2,GO,0,1,0,0,0,16.465712785720825
3,GO,NA,0,1,0,0,31.145593881607056
4,GO,0.41948390007019043,1,0,0,0,48.15550494194031
5,NOGO,0.8279848098754883,0,0,0,1,66.02536392211914
6,GO,0.001055002212524414,1,0,0,0,94.06500887870789
7,GO,0.04930400848388672,1,0,0,0,157.87441897392273
8,GO,0.8713300228118896,1,0,0,0,170.48428583145142
9,NOGO,NA,0,0,1,0,204.11408591270447
10,GO,NA,0,1,0,0,227.37390995025635
11,GO,1.499027967453003,1,0,0,0,264.29350686073303
12,NOGO,0.509850025177002,0,0,0,1,279.3433609008789
13,GO,0.38012003898620605,1,0,0,0,326.47283697128296
14,NOGO,NA,0,0,1,0,343.2227408885956
15,NOGO,NA,0,0,1,0,360.07252287864685
16,GO,0.4332399368286133,1,0,0,0,382.35234785079956
17,NOGO,NA,0,0,1,0,406.6020839214325
18,NOGO,NA,0,0,1,0,420.4919228553772
19,GO,0.41161584854125977,1,0,0,0,446.00170493125916
20,GO,0.6715331077575684,1,0,0,0,465.4116768836975
21,GO,0.3361961841583252,1,0,0,0,482.32137179374695
22,NOGO,0.6904740333557129,0,0,0,1,541.9507927894592
23,NOGO,0.37639784812927246,0,0,0,1,570.1005229949951
24,GO,1.3539509773254395,1,0,0,0,595.5302758216858
25,GO,NA,0,1,0,0,613.1502048969269
26,GO,NA,0,1,0,0,636.9198799133301
27,GO,1.4545400142669678,1,0,0,0,660.0997469425201
28,NOGO,0.7227330207824707,0,0,0,1,689.6693859100342
29,NOGO,NA,0,0,1,0,735.0089378356934
30,GO,NA,0,1,0,0,904.9873158931732
31,GO,0.39008092880249023,1,0,0,0,1190.684562921524
32,NOGO,NA,0,0,1,0,1217.9642679691315
33,GO,0.497222900390625,1,0,0,0,1677.429988861084
34,GO,0,1,0,0,0,1699.4697518348694
35,NOGO,0.269956111907959,0,0,0,1,1726.0795137882233
36,NOGO,0.9003620147705078,0,0,0,1,1757.899207830429
37,GO,0.2721590995788574,1,0,0,0,1781.3390369415283
38,NOGO,1.5569789409637451,0,0,0,1,1804.2987549304962
39,NOGO,0.19501399993896484,0,0,0,1,1843.0284299850464
40,GO,1.0251340866088867,1,0,0,0,1888.9679019451141
41,GO,0.3954041004180908,1,0,0,0,1902.6879789829254
42,NOGO,0,0,0,0,1,1937.4575049877167
43,NOGO,NA,0,0,1,0,1960.7073059082031
44,GO,NA,0,1,0,0,1976.7471578121185
45,NOGO,NA,0,0,1,0,1989.647047996521
46,NOGO,NA,0,0,1,0,2002.6369259357452
47,NOGO,0.9820971488952637,0,0,0,1,2020.0868468284607
48,NOGO,NA,0,0,1,0,2067.8562598228455
49,GO,NA,0,1,0,0,2106.715875864029
50,NOGO,0,0,0,0,1,2146.955544948578
51,GO,NA,0,1,0,0,2340.4138078689575
52,NOGO,NA,0,0,1,0,2352.573581933975
53,GO,0.2260739803314209,1,0,0,0,2440.9727878570557
54,GO,0.8781609535217285,1,0,0,0,2483.8423109054565
55,NOGO,0.381209135055542,0,0,0,1,2519.6319999694824
56,NOGO,NA,0,0,1,0,2573.4814829826355
57,NOGO,NA,0,0,1,0,2609.411154985428
58,NOGO,NA,0,0,1,0,2678.9905049800873
59,NOGO,NA,0,0,1,0,3213.265542984009
60,NOGO,NA,0,0,1,0,3504.4128658771515
61,GO,0.28960514068603516,1,0,0,0,3821.219916820526
62,NOGO,1.2455501556396484,0,0,0,1,3836.5297458171844
63,NOGO,NA,0,0,1,0,3874.9693439006805
64,NOGO,0.4958810806274414,0,0,0,1,3892.6691958904266
65,GO,1.2011029720306396,1,0,0,0,4659.24210190773
66,GO,1.0912749767303467,1,0,0,0,4686.971722841263
67,GO,0.05748605728149414,1,0,0,0,4717.88152885437
68,NOGO,NA,0,0,1,0,4737.24126291275
69,GO,NA,0,1,0,0,4757.371078968048
70,NOGO,1.5711960792541504,0,0,0,1,4779.9309248924255
71,NOGO,NA,0,0,1,0,5208.9768397808075
72,GO,0,1,0,0,0,5276.816244840622
73,GO,0.5611639022827148,1,0,0,0,5303.755948781967
74,GO,0.7584929466247559,1,0,0,0,5440.894713878632
75,NOGO,NA,0,0,1,0,5465.114457845688
76,GO,0,1,0,0,0,5505.3042068481445
77,GO,1.672544002532959,1,0,0,0,5534.423910856247
78,NOGO,NA,0,0,1,0,5568.123685836792
79,NOGO,NA,0,0,1,0,5600.343189954758
80,NOGO,NA,0,0,1,0,5722.322085857391
81,GO,0.368009090423584,1,0,0,0,7843.802073001862
82,NOGO,0.19222807884216309,0,0,0,1,7962.700974941254
83,NOGO,NA,0,0,1,0,7998.680578947067
84,GO,0.7861840724945068,1,0,0,0,8425.066657781601
85,NOGO,NA,0,0,1,0,8447.746404886246
86,NOGO,NA,0,0,1,0,8474.7561647892
87,GO,1.3599791526794434,1,0,0,0,8662.644439935684
88,GO,0,1,0,0,0,8700.764688014984
89,GO,NA,0,1,0,0,8775.073519945145
90,NOGO,NA,0,0,1,0,8794.673205852509
91,GO,NA,0,1,0,0,8878.222380876541
92,NOGO,NA,0,0,1,0,8891.902295827866
93,GO,NA,0,1,0,0,8937.971826791763
94,NOGO,NA,0,0,1,0,9086.250471830368
95,NOGO,NA,0,0,1,0,9611.03553390503
