Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,NA,0,0,1,0,784.2484290599823
2,GO,0.602086067199707,1,0,0,0,796.3784561157227
3,NOGO,0.49343204498291016,0,0,0,1,828.0885381698608
4,GO,1.8501780033111572,1,0,0,0,2327.791948080063
5,NOGO,NA,0,0,1,0,2435.962177991867
6,NOGO,NA,0,0,1,0,2459.482234954834
7,NOGO,1.0256810188293457,0,0,0,1,3001.0934500694275
8,NOGO,1.23665189743042,0,0,0,1,3136.623748064041
9,GO,1.4023900032043457,1,0,0,0,3239.2339770793915
10,GO,0.5643110275268555,1,0,0,0,3337.8842010498047
11,NOGO,0.7950899600982666,0,0,0,1,3738.285125017166
12,NOGO,NA,0,0,1,0,3910.1254999637604
13,GO,1.7188661098480225,1,0,0,0,4896.717720031738
14,GO,NA,0,1,0,0,4928.77778506279
15,GO,1.0703809261322021,1,0,0,0,4957.087841033936
16,NOGO,0,0,0,0,1,5073.2481009960175
17,NOGO,0.8268611431121826,0,0,0,1,5191.968364953995
18,GO,0.5086898803710938,1,0,0,0,5307.738605976105
19,NOGO,0.516010046005249,0,0,0,1,5452.569087028503
20,GO,1.0300090312957764,1,0,0,0,5489.439038991928
21,GO,NA,0,1,0,0,5700.589565992355
22,NOGO,0.8400490283966064,0,0,0,1,5784.129688978195
23,NOGO,NA,0,0,1,0,5830.6498510837555
24,NOGO,0.0350949764251709,0,0,0,1,5848.959887981415
25,GO,0.675717830657959,1,0,0,0,5901.230026960373
26,NOGO,NA,0,0,1,0,5981.370161056519
27,NOGO,NA,0,0,1,0,6023.210253953934
28,NOGO,NA,0,0,1,0,6257.820782184601
29,NOGO,0.786175012588501,0,0,0,1,6467.911239147186
30,GO,0.16227412223815918,1,0,0,0,6747.961869955063
31,NOGO,0.5403800010681152,0,0,0,1,6840.442087173462
32,GO,0.04627490043640137,1,0,0,0,6863.602127075195
33,NOGO,NA,0,0,1,0,6904.462237119675
34,NOGO,NA,0,0,1,0,6923.782262086868
35,GO,NA,0,1,0,0,6977.562383174896
36,NOGO,0.825779914855957,0,0,0,1,7035.782519102097
37,NOGO,1.323011875152588,0,0,0,1,7087.312623023987
38,NOGO,NA,0,0,1,0,7118.062695026398
39,GO,0.03534698486328125,1,0,0,0,7176.50283408165
40,NOGO,0.9900100231170654,0,0,0,1,7214.222927093506
41,GO,0.5626931190490723,1,0,0,0,7252.193022966385
42,NOGO,NA,0,0,1,0,7284.873106002808
43,GO,0.4663810729980469,1,0,0,0,7385.543325185776
44,NOGO,0.38527989387512207,0,0,0,1,7512.333608150482
45,GO,0.9330768585205078,1,0,0,0,7554.593696117401
46,NOGO,1.43064284324646,0,0,0,1,7591.213773965836
47,GO,0.7660529613494873,1,0,0,0,7628.04385304451
48,GO,0.6849780082702637,1,0,0,0,7668.853950977325
49,GO,0.629727840423584,1,0,0,0,8093.504906177521
50,GO,NA,0,1,0,0,8141.405012130737
51,NOGO,NA,0,0,1,0,8367.825523138046
52,GO,NA,0,1,0,0,8382.735548973083
53,GO,NA,0,1,0,0,8453.805703163147
54,NOGO,0,0,0,0,1,9130.977235078812
55,NOGO,NA,0,0,1,0,9396.747840166092
56,GO,0.45096898078918457,1,0,0,0,9499.7180621624
57,GO,0.5196552276611328,1,0,0,0,9880.988934993744
58,GO,0.6501569747924805,1,0,0,0,9918.159036159515
59,GO,1.4675300121307373,1,0,0,0,9973.609119176865
60,NOGO,NA,0,0,1,0,10013.739212036133
61,NOGO,0.8666379451751709,0,0,0,1,10159.15958404541
62,NOGO,NA,0,0,1,0,10300.239953041077
63,NOGO,0.5305352210998535,0,0,0,1,10509.350353002548
64,GO,0.7434871196746826,1,0,0,0,10734.020863056183
65,GO,0.033675193786621094,1,0,0,0,10798.881078004837
66,NOGO,NA,0,0,1,0,10842.641119003296
67,GO,1.464745044708252,1,0,0,0,10854.571134090424
68,NOGO,NA,0,0,1,0,11065.501600980759
69,NOGO,0.24710822105407715,0,0,0,1,11121.60172700882
70,GO,NA,0,1,0,0,11161.671831130981
71,GO,0.6665000915527344,1,0,0,0,11216.611937999725
72,NOGO,NA,0,0,1,0,11238.571983098984
73,GO,0.35234594345092773,1,0,0,0,11467.142503976822
74,GO,0.88242506980896,1,0,0,0,11627.872933149338
75,NOGO,0.6605989933013916,0,0,0,1,11669.46295118332
76,GO,0.015098094940185547,1,0,0,0,11710.523044109344
77,NOGO,NA,0,0,1,0,11748.353131055832
78,GO,0.32831311225891113,1,0,0,0,11804.383248090744
79,NOGO,NA,0,0,1,0,11825.333301067352
80,GO,0.47704100608825684,1,0,0,0,11844.243338108063
81,GO,0,1,0,0,0,11899.773458957672
82,GO,0.45383405685424805,1,0,0,0,12195.004122972488
83,GO,0.8100330829620361,1,0,0,0,12211.504153966904
84,NOGO,1.6229510307312012,0,0,0,1,12286.134335041046
85,GO,1.1931440830230713,1,0,0,0,12310.9044110775
86,NOGO,NA,0,0,1,0,12345.3744931221
87,GO,0,1,0,0,0,12408.304641962051
88,NOGO,0.41161608695983887,0,0,0,1,12427.51467204094
89,GO,0.16849493980407715,1,0,0,0,12497.01483297348
90,NOGO,1.2573659420013428,0,0,0,1,12548.924935102463
91,GO,0.4280362129211426,1,0,0,0,12577.075006008148
92,GO,NA,0,1,0,0,12604.965051174164
93,NOGO,NA,0,0,1,0,12646.395682096481
94,GO,0.7784528732299805,1,0,0,0,12691.135245084763
95,GO,0.9069039821624756,1,0,0,0,12730.485342025757
96,GO,0.08661198616027832,1,0,0,0,12783.835492134094
97,NOGO,NA,0,0,1,0,12867.635650157928
98,NOGO,1.295835018157959,0,0,0,1,12914.6357691288
99,NOGO,0.4115760326385498,0,0,0,1,12940.245814085007
100,NOGO,NA,0,0,1,0,12972.995870113373
101,NOGO,1.5211899280548096,0,0,0,1,13001.4259390831
102,NOGO,0.7409389019012451,0,0,0,1,13055.18606710434
103,NOGO,0.04168891906738281,0,0,0,1,13095.286149978638
104,NOGO,0.003525972366333008,0,0,0,1,13117.606230020523
105,GO,0.46688413619995117,1,0,0,0,13143.386307954788
106,GO,1.0709187984466553,1,0,0,0,13233.85649895668
107,GO,0.44077396392822266,1,0,0,0,13464.087005138397
108,GO,0.218858003616333,1,0,0,0,13518.337131977081
109,GO,0.8584520816802979,1,0,0,0,14278.708832979202
110,NOGO,0.7545130252838135,0,0,0,1,14295.698877096176
111,GO,NA,0,1,0,0,14330.438944101334
112,NOGO,NA,0,0,1,0,14346.718980073929
113,NOGO,NA,0,0,1,0,14376.729047060013
