Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,0.49657607078552246,1,0,0,0,1132.0546281337738
2,GO,0.5937659740447998,1,0,0,0,1152.9046320915222
3,NOGO,NA,0,0,1,0,1178.3046441078186
4,NOGO,NA,0,0,1,0,1191.3746330738068
5,GO,0.13790202140808105,1,0,0,0,1205.1946229934692
6,GO,0.01822185516357422,1,0,0,0,1350.4646661281586
7,NOGO,NA,0,0,1,0,1360.9346611499786
8,NOGO,NA,0,0,1,0,1444.5646731853485
9,NOGO,NA,0,0,1,0,1470.3146622180939
10,NOGO,0.34772181510925293,0,0,0,1,1608.7546892166138
11,NOGO,NA,0,0,1,0,1658.534669160843
12,NOGO,1.6196181774139404,0,0,0,1,2962.944797039032
13,NOGO,NA,0,0,1,0,2989.17479801178
14,GO,0.05335593223571777,1,0,0,0,3005.5848031044006
15,GO,NA,0,1,0,0,3104.3347811698914
16,NOGO,0.4264349937438965,0,0,0,1,3228.5347661972046
17,GO,0.5828042030334473,1,0,0,0,3256.634773015976
18,NOGO,NA,0,0,1,0,3301.2947812080383
19,GO,1.3392879962921143,1,0,0,0,3321.4747700691223
20,NOGO,0.3985919952392578,0,0,0,1,3361.1647610664368
21,GO,0.8576300144195557,1,0,0,0,3393.2647590637207
22,GO,0.27771997451782227,1,0,0,0,3504.05477309227
23,NOGO,NA,0,0,1,0,3663.6447930336
24,GO,1.4446589946746826,1,0,0,0,3703.7747740745544
25,GO,0.15888690948486328,1,0,0,0,3758.234772205353
26,GO,NA,0,1,0,0,3786.6647851467133
27,GO,0,1,0,0,0,3801.0947830677032
28,GO,1.644146203994751,1,0,0,0,5567.62494301796
29,GO,1.6664800643920898,1,0,0,0,5585.724943161011
30,NOGO,NA,0,0,1,0,5600.544975042343
31,GO,0.7681279182434082,1,0,0,0,5743.264979124069
32,GO,0,1,0,0,0,5789.0649971961975
33,GO,0.004358053207397461,1,0,0,0,5812.4549860954285
34,NOGO,NA,0,0,1,0,5892.6950080394745
35,NOGO,0.6544971466064453,0,0,0,1,5916.655043125153
36,GO,NA,0,1,0,0,5950.325054168701
37,GO,0.04016685485839844,1,0,0,0,6015.695050001144
38,GO,NA,0,1,0,0,6029.905043125153
39,NOGO,NA,0,0,1,0,6074.085061073303
40,NOGO,1.1562302112579346,0,0,0,1,6105.615072011948
41,NOGO,NA,0,0,1,0,6229.935080051422
42,NOGO,NA,0,0,1,0,6268.195098161697
43,NOGO,NA,0,0,1,0,6356.255103111267
44,GO,1.1346189975738525,1,0,0,0,6376.695108175278
45,NOGO,NA,0,0,1,0,6422.685113191605
46,NOGO,NA,0,0,1,0,6468.535133123398
47,GO,1.2646629810333252,1,0,0,0,6490.255119085312
48,NOGO,NA,0,0,1,0,6982.265202999115
49,GO,0.0103302001953125,1,0,0,0,6997.145186185837
50,NOGO,0.00768589973449707,0,0,0,1,7383.735242128372
51,GO,0.5085048675537109,1,0,0,0,7412.455241203308
52,NOGO,NA,0,0,1,0,7550.485263109207
53,GO,0.9433009624481201,1,0,0,0,7563.985283136368
54,NOGO,NA,0,0,1,0,7583.005286216736
55,NOGO,0.4411799907684326,0,0,0,1,7664.945317029953
56,GO,0.8002209663391113,1,0,0,0,7715.435344219208
57,GO,0.7782139778137207,1,0,0,0,7853.415392160416
58,NOGO,1.4199249744415283,0,0,0,1,7958.04541516304
59,GO,0.519899845123291,1,0,0,0,7987.625404119492
60,NOGO,0.8535871505737305,0,0,0,1,7998.96538901329
61,NOGO,0.5660250186920166,0,0,0,1,8137.755412101746
62,NOGO,NA,0,0,1,0,8169.6254251003265
63,GO,0.5921211242675781,1,0,0,0,8206.515423059464
64,NOGO,NA,0,0,1,0,8265.95541214943
65,NOGO,NA,0,0,1,0,8310.19543504715
66,GO,NA,0,1,0,0,8371.54545712471
67,NOGO,0,0,0,0,1,8418.385448217392
68,NOGO,NA,0,0,1,0,8451.715448141098
69,NOGO,NA,0,0,1,0,8466.875447034836
70,NOGO,NA,0,0,1,0,8571.745458126068
71,NOGO,NA,0,0,1,0,8611.425463199615
72,GO,0.7462430000305176,1,0,0,0,8625.36547422409
73,NOGO,NA,0,0,1,0,8656.725488185883
74,NOGO,NA,0,0,1,0,8700.32546710968
75,NOGO,NA,0,0,1,0,8728.625475168228
76,NOGO,1.7124838829040527,0,0,0,1,9541.755564212799
77,GO,0.19875383377075195,1,0,0,0,9566.485576152802
78,NOGO,1.1670210361480713,0,0,0,1,9643.425574064255
79,GO,NA,0,1,0,0,9672.615572214127
80,GO,NA,0,1,0,0,9774.18557715416
81,NOGO,NA,0,0,1,0,9801.365559101105
