Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,224.24496507644653
2,GO,1.048591136932373,1,0,0,0,243.6949920654297
3,NOGO,0.436478853225708,0,0,0,1,263.92499899864197
4,NOGO,1.133059024810791,0,0,0,1,290.025071144104
5,GO,NA,0,1,0,0,316.95512199401855
6,GO,0.48209595680236816,1,0,0,0,349.9452121257782
7,NOGO,NA,0,0,1,0,375.9852831363678
8,NOGO,0,0,0,0,1,388.9253001213074
9,NOGO,NA,0,0,1,0,419.5753879547119
10,NOGO,0.7948200702667236,0,0,0,1,442.60541105270386
11,GO,0.04326987266540527,1,0,0,0,494.15555715560913
12,NOGO,1.1652588844299316,0,0,0,1,524.5556261539459
13,GO,0,1,0,0,0,563.2557079792023
14,NOGO,NA,0,0,1,0,618.0058200359344
15,GO,0,1,0,0,0,644.375895023346
16,GO,0.5642509460449219,1,0,0,0,673.635938167572
17,GO,0.16730904579162598,1,0,0,0,716.9960460662842
18,GO,NA,0,1,0,0,777.1061639785767
19,GO,0.07697486877441406,1,0,0,0,863.4063589572906
20,NOGO,0.5074501037597656,0,0,0,1,899.1464531421661
21,NOGO,NA,0,0,1,0,932.5565221309662
22,NOGO,NA,0,0,1,0,946.3765439987183
23,NOGO,NA,0,0,1,0,966.5865941047668
24,GO,0,1,0,0,0,996.5566611289978
25,GO,0,1,0,0,0,1010.2366869449615
26,NOGO,NA,0,0,1,0,1028.23672413826
27,NOGO,NA,0,0,1,0,1069.8568150997162
28,NOGO,NA,0,0,1,0,1139.1770040988922
29,GO,NA,0,1,0,0,1232.257178068161
30,GO,NA,0,1,0,0,1253.1572279930115
31,GO,1.923511028289795,1,0,0,0,1272.3272659778595
32,GO,0.7491059303283691,1,0,0,0,1287.907308101654
33,NOGO,NA,0,0,1,0,1305.7773370742798
34,GO,NA,0,1,0,0,1320.83740401268
35,NOGO,NA,0,0,1,0,1344.4974610805511
36,NOGO,NA,0,0,1,0,1369.927521944046
37,NOGO,0.5517828464508057,0,0,0,1,1415.2976241111755
38,GO,0,1,0,0,0,1442.7276740074158
39,GO,NA,0,1,0,0,1459.817708015442
40,GO,NA,0,1,0,0,1473.517744064331
41,NOGO,NA,0,0,1,0,1507.3178160190582
42,NOGO,NA,0,0,1,0,1521.8278601169586
43,GO,NA,0,1,0,0,1590.8079960346222
44,GO,NA,0,1,0,0,1638.348116159439
45,NOGO,NA,0,0,1,0,1655.0481550693512
46,NOGO,0,0,0,0,1,1711.1882679462433
47,NOGO,NA,0,0,1,0,1793.8484539985657
48,NOGO,0.7536289691925049,0,0,0,1,1828.738517999649
49,GO,0.07410502433776855,1,0,0,0,1879.3886499404907
50,GO,NA,0,1,0,0,1902.538684129715
51,NOGO,NA,0,0,1,0,1914.8787159919739
52,GO,NA,0,1,0,0,1937.0687899589539
53,GO,NA,0,1,0,0,1959.3188140392303
54,GO,NA,0,1,0,0,1979.0088729858398
55,NOGO,NA,0,0,1,0,2005.7789211273193
56,GO,NA,0,1,0,0,2073.7090680599213
57,GO,NA,0,1,0,0,2091.2691400051117
58,NOGO,1.0209131240844727,0,0,0,1,2239.8794770240784
59,GO,1.5062551498413086,1,0,0,0,2326.269665002823
60,NOGO,0.7275550365447998,0,0,0,1,2341.349704027176
61,NOGO,NA,0,0,1,0,2421.8698990345
62,NOGO,0.35617518424987793,0,0,0,1,2552.8901720046997
63,NOGO,NA,0,0,1,0,2608.710294008255
64,GO,0.9065530300140381,1,0,0,0,2627.220332145691
65,GO,0.86155104637146,1,0,0,0,2689.6304881572723
66,GO,0.06349897384643555,1,0,0,0,2713.9805171489716
67,GO,0.8200740814208984,1,0,0,0,2763.460633993149
68,GO,NA,0,1,0,0,2851.2208290100098
69,GO,0.10565185546875,1,0,0,0,2865.540869951248
70,GO,0,1,0,0,0,2884.960904121399
71,NOGO,0,0,0,0,1,2921.980992078781
72,GO,0,1,0,0,0,2967.3910989761353
73,NOGO,0,0,0,0,1,2999.301176071167
74,NOGO,0.10856294631958008,0,0,0,1,3027.101228952408
75,GO,NA,0,1,0,0,3056.211282968521
76,GO,0.40540480613708496,1,0,0,0,3096.0214121341705
77,GO,0,1,0,0,0,3111.261435985565
78,GO,0.5953381061553955,1,0,0,0,3127.941472053528
79,NOGO,NA,0,0,1,0,3146.8015291690826
80,NOGO,0.198106050491333,0,0,0,1,3159.3815400600433
81,GO,0.4988110065460205,1,0,0,0,3182.391589164734
82,NOGO,0.027009010314941406,0,0,0,1,3264.3517961502075
83,GO,0.17702484130859375,1,0,0,0,3287.851928949356
84,NOGO,0.4935319423675537,0,0,0,1,3301.901916027069
85,GO,NA,0,1,0,0,3343.391986131668
86,NOGO,NA,0,0,1,0,3375.3920710086823
87,NOGO,0.07666206359863281,0,0,0,1,3408.9420959949493
88,GO,0.5566608905792236,1,0,0,0,3466.312224149704
89,GO,0.6673219203948975,1,0,0,0,3485.532282114029
90,GO,0,1,0,0,0,3530.9223580360413
91,GO,NA,0,1,0,0,3546.6724050045013
92,NOGO,1.541990041732788,0,0,0,1,3562.862431049347
93,GO,0,1,0,0,0,3594.1025099754333
94,NOGO,NA,0,0,1,0,3610.862534046173
95,NOGO,NA,0,0,1,0,3623.1325690746307
96,NOGO,0.8861191272735596,0,0,0,1,3636.0625960826874
97,NOGO,0,0,0,0,1,3669.642692089081
98,GO,0.3680999279022217,1,0,0,0,3702.8927409648895
99,NOGO,0.5189571380615234,0,0,0,1,3723.862785100937
100,GO,0.5782291889190674,1,0,0,0,3749.352931022644
101,GO,NA,0,1,0,0,3800.2329680919647
102,NOGO,NA,0,0,1,0,3819.6630160808563
103,NOGO,0.6683919429779053,0,0,0,1,3859.383096933365
104,NOGO,NA,0,0,1,0,3888.673154115677
105,NOGO,0,0,0,0,1,3903.063204050064
106,NOGO,0.14970707893371582,0,0,0,1,3932.0632870197296
107,GO,NA,0,1,0,0,4004.523463010788
108,NOGO,0.23274588584899902,0,0,0,1,4025.9935171604156
109,NOGO,0.590662956237793,0,0,0,1,4154.393779993057
110,GO,1.3815600872039795,1,0,0,0,4194.613877058029
111,NOGO,NA,0,0,1,0,4551.434682130814
112,GO,NA,0,1,0,0,4567.994702100754
113,NOGO,NA,0,0,1,0,4583.034737110138
114,GO,NA,0,1,0,0,4604.054789066315
115,GO,NA,0,1,0,0,4623.604835987091
116,GO,0.6601018905639648,1,0,0,0,4637.4748711586
117,NOGO,NA,0,0,1,0,4653.374894142151
118,NOGO,1.165112018585205,0,0,0,1,4666.234925985336
119,NOGO,0,0,0,0,1,4693.874988079071
120,NOGO,NA,0,0,1,0,4723.775046110153
121,GO,0,1,0,0,0,4743.34508395195
122,GO,0.6091351509094238,1,0,0,0,4767.495140075684
123,NOGO,NA,0,0,1,0,4781.74516916275
124,NOGO,0.7383489608764648,0,0,0,1,4798.025207996368
125,GO,0.7984409332275391,1,0,0,0,4834.1552901268005
126,GO,0.4053981304168701,1,0,0,0,4867.8653910160065
127,GO,NA,0,1,0,0,4960.785598039627
128,NOGO,0.6822209358215332,0,0,0,1,4974.635632991791
129,NOGO,NA,0,0,1,0,5010.555716991425
130,GO,NA,0,1,0,0,5035.505769968033
131,NOGO,0.930016040802002,0,0,0,1,5055.895812988281
132,GO,NA,0,1,0,0,5094.515896081924
133,NOGO,NA,0,0,1,0,5287.1163330078125
134,NOGO,NA,0,0,1,0,5303.5463790893555
135,NOGO,NA,0,0,1,0,5321.816405057907
136,GO,0.4555788040161133,1,0,0,0,5345.196450948715
137,NOGO,NA,0,0,1,0,5370.376501083374
138,NOGO,NA,0,0,1,0,5393.966562986374
139,NOGO,0.819281816482544,0,0,0,1,5443.1166639328
140,NOGO,0.268157958984375,0,0,0,1,5477.856758117676
141,NOGO,1.026181936264038,0,0,0,1,5503.126801967621
142,NOGO,1.8280479907989502,0,0,0,1,5527.406857013702
143,NOGO,1.5536370277404785,0,0,0,1,5552.506914138794
144,GO,0,1,0,0,0,5592.736992120743
145,NOGO,NA,0,0,1,0,5609.017054080963
146,NOGO,NA,0,0,1,0,5665.667183160782
147,GO,0.6977341175079346,1,0,0,0,5782.747452020645
148,NOGO,NA,0,0,1,0,5806.81751704216
149,NOGO,NA,0,0,1,0,5828.8175530433655
150,GO,1.3786489963531494,1,0,0,0,5842.007586956024
151,NOGO,NA,0,0,1,0,5898.397719144821
152,NOGO,NA,0,0,1,0,5944.957813024521
153,NOGO,NA,0,0,1,0,5957.11786699295
154,GO,1.7431349754333496,1,0,0,0,5996.957926988602
155,NOGO,NA,0,0,1,0,6018.297964096069
156,GO,0.09025096893310547,1,0,0,0,6043.48802614212
157,GO,0,1,0,0,0,6112.258183002472
158,GO,0.3069038391113281,1,0,0,0,6128.098214149475
159,GO,0.9098289012908936,1,0,0,0,6157.308297157288
160,GO,NA,0,1,0,0,6186.878347158432
161,GO,0.34024906158447266,1,0,0,0,6203.568380117416
162,NOGO,0.0042150020599365234,0,0,0,1,6222.6484179496765
163,GO,NA,0,1,0,0,6253.55849313736
164,NOGO,0.5559000968933105,0,0,0,1,6266.138520002365
165,GO,NA,0,1,0,0,6292.138878107071
166,GO,0.24868178367614746,1,0,0,0,6304.628607034683
167,NOGO,0.020859956741333008,0,0,0,1,6315.648616075516
168,NOGO,NA,0,0,1,0,6339.588703155518
169,GO,0.34126710891723633,1,0,0,0,6406.628854036331
170,GO,NA,0,1,0,0,6429.238911151886
171,GO,NA,0,1,0,0,6511.87908911705
172,GO,0.6532449722290039,1,0,0,0,6556.329185962677
173,NOGO,NA,0,0,1,0,6569.84921503067
174,NOGO,NA,0,0,1,0,6596.819278001785
175,GO,0.23997092247009277,1,0,0,0,6627.189339160919
176,GO,NA,0,1,0,0,6642.899373054504
177,GO,0.5257999897003174,1,0,0,0,6656.849404096603
178,GO,NA,0,1,0,0,6667.289425134659
179,NOGO,NA,0,0,1,0,6691.239479064941
180,NOGO,NA,0,0,1,0,6725.519562005997
181,NOGO,0.14706707000732422,0,0,0,1,6741.699588060379
182,GO,0.22414398193359375,1,0,0,0,6782.309692144394
183,NOGO,NA,0,0,1,0,6801.149719953537
184,GO,NA,0,1,0,0,6823.909780025482
185,GO,1.054872989654541,1,0,0,0,6844.579811096191
186,NOGO,NA,0,0,1,0,6868.329869031906
187,GO,0.20660185813903809,1,0,0,0,6887.939945936203
188,NOGO,NA,0,0,1,0,6921.4399881362915
189,NOGO,NA,0,0,1,0,6944.640043020248
190,NOGO,0.286283016204834,0,0,0,1,6958.0700759887695
191,GO,0.12958693504333496,1,0,0,0,6980.870147943497
192,NOGO,NA,0,0,1,0,7004.020187139511
193,NOGO,NA,0,0,1,0,7022.230246067047
194,GO,NA,0,1,0,0,7051.770301103592
195,NOGO,NA,0,0,1,0,7069.850341081619
196,GO,0.7252399921417236,1,0,0,0,7085.370371103287
197,NOGO,NA,0,0,1,0,7119.3604600429535
