Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,0.48073482513427734,1,0,0,0,9.193372011184692
2,NOGO,1.1290771961212158,0,0,0,1,18.75332999229431
3,NOGO,0.1641089916229248,0,0,0,1,44.042999029159546
4,GO,0,1,0,0,0,65.9527940750122
5,NOGO,0,0,0,0,1,80.3526439666748
6,NOGO,0.16251277923583984,0,0,0,1,107.5724401473999
7,NOGO,0.1929330825805664,0,0,0,1,146.54204511642456
8,GO,0.43607306480407715,1,0,0,0,170.30182194709778
9,NOGO,0.8539469242095947,0,0,0,1,188.01161408424377
10,NOGO,0,0,0,0,1,212.33139610290527
11,GO,0.27306413650512695,1,0,0,0,234.36117696762085
12,NOGO,NA,0,0,1,0,255.19096493721008
13,NOGO,NA,0,0,1,0,274.04079699516296
14,GO,0.09812307357788086,1,0,0,0,292.7906470298767
15,GO,NA,0,1,0,0,312.8904960155487
16,GO,0.3062319755554199,1,0,0,0,349.02012300491333
17,GO,0.7120368480682373,1,0,0,0,370.06991696357727
18,NOGO,0,0,0,0,1,431.5993149280548
19,NOGO,0,0,0,0,1,459.67935514450073
20,NOGO,0,0,0,0,1,531.5684950351715
21,GO,NA,0,1,0,0,569.058256149292
22,NOGO,0,0,0,0,1,587.0079021453857
23,NOGO,0,0,0,0,1,615.4475500583649
24,GO,1.0482678413391113,1,0,0,0,639.0274159908295
25,GO,NA,0,1,0,0,656.3872499465942
26,NOGO,0.13103103637695312,0,0,0,1,671.3070199489594
27,GO,NA,0,1,0,0,705.9967150688171
28,NOGO,0.6912288665771484,0,0,0,1,721.1666131019592
29,GO,0.4398679733276367,1,0,0,0,746.3964581489563
30,NOGO,0,0,0,0,1,764.6162109375
31,GO,0,1,0,0,0,789.486083984375
32,GO,0,1,0,0,0,816.8857569694519
33,NOGO,0,0,0,0,1,838.1755480766296
34,GO,0,1,0,0,0,877.2551021575928
35,GO,NA,0,1,0,0,908.6049590110779
36,NOGO,0.8487858772277832,0,0,0,1,929.4446351528168
37,NOGO,0,0,0,0,1,960.884339094162
38,GO,NA,0,1,0,0,987.834067106247
39,NOGO,0.03158211708068848,0,0,0,1,1011.3038549423218
40,GO,0,1,0,0,0,1039.2235729694366
41,GO,0,1,0,0,0,1065.613361120224
42,NOGO,0.0022199153900146484,0,0,0,1,1105.8829629421234
43,GO,0,1,0,0,0,1155.9325079917908
44,GO,0.7736959457397461,1,0,0,0,1174.9123001098633
45,NOGO,0.0055921077728271484,0,0,0,1,1192.7522971630096
46,NOGO,1.5086288452148438,0,0,0,1,1225.5118689537048
47,GO,0.046257972717285156,1,0,0,0,1251.4116339683533
48,GO,NA,0,1,0,0,1278.121356010437
49,GO,0.24330782890319824,1,0,0,0,1313.4010879993439
50,NOGO,0.13316082954406738,0,0,0,1,1358.470617055893
51,NOGO,0.2766878604888916,0,0,0,1,1394.7002999782562
52,NOGO,0.23415899276733398,0,0,0,1,1420.3700420856476
53,NOGO,0,0,0,0,1,1446.5498130321503
54,GO,0.3484790325164795,1,0,0,0,1470.1695790290833
55,NOGO,NA,0,0,1,0,1488.2194221019745
56,GO,NA,0,1,0,0,1500.5292720794678
57,NOGO,0.22084712982177734,0,0,0,1,1513.7491600513458
58,GO,0.8057029247283936,1,0,0,0,1542.1788980960846
59,NOGO,0,0,0,0,1,1574.7687821388245
60,NOGO,NA,0,0,1,0,1616.0483810901642
61,GO,0,1,0,0,0,1637.1580669879913
62,GO,NA,0,1,0,0,1675.35768699646
63,NOGO,1.0838398933410645,0,0,0,1,1704.227369070053
64,NOGO,0,0,0,0,1,1745.2669780254364
65,NOGO,NA,0,0,1,0,1781.3467290401459
66,NOGO,0.03940391540527344,0,0,0,1,1862.0558581352234
67,NOGO,0,0,0,0,1,1900.7254860401154
68,NOGO,NA,0,0,1,0,1925.1652500629425
69,GO,0.6728010177612305,1,0,0,0,1944.6450080871582
70,NOGO,NA,0,0,1,0,1966.5148949623108
71,GO,0.48035502433776855,1,0,0,0,1990.4546129703522
72,GO,NA,0,1,0,0,2019.694384098053
73,NOGO,NA,0,0,1,0,2072.7738630771637
74,GO,NA,0,1,0,0,2104.3235630989075
75,GO,0.6798479557037354,1,0,0,0,2127.263333082199
76,GO,NA,0,1,0,0,2390.351040124893
77,NOGO,0.18555712699890137,0,0,0,1,2429.120497941971
78,GO,0.7497279644012451,1,0,0,0,2535.5095109939575
79,NOGO,NA,0,0,1,0,2559.4093050956726
80,NOGO,1.2640819549560547,0,0,0,1,2744.4475541114807
81,GO,0.48532795906066895,1,0,0,0,2785.027218103409
82,GO,NA,0,1,0,0,2807.277050971985
