Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start,Stimulus
1,NOGO,0.6029767990112305,0,0,0,1,6.647796869277954,2800HZ_TONE.wav
2,GO,0,1,0,0,0,217.89121890068054,3000HZ_TONE.wav
3,GO,0.5878298282623291,1,0,0,0,481.48312497138977,3000HZ_TONE.wav
4,GO,NA,0,1,0,0,697.0664529800415,3000HZ_TONE.wav
5,GO,0.23960208892822266,1,0,0,0,711.4960069656372,3000HZ_TONE.wav
6,GO,0.6486570835113525,1,0,0,0,753.3148138523102,3000HZ_TONE.wav
7,NOGO,0.13624095916748047,0,0,0,1,1485.6920838356018,2800HZ_TONE.wav
8,GO,0,1,0,0,0,1510.5013589859009,3000HZ_TONE.wav
9,NOGO,NA,0,0,1,0,1541.1003830432892,2800HZ_TONE.wav
10,NOGO,NA,0,0,1,0,1570.7895209789276,2800HZ_TONE.wav
11,GO,0.07668495178222656,1,0,0,0,1585.5490469932556,3000HZ_TONE.wav
12,GO,0.4408590793609619,1,0,0,0,1611.26824092865,3000HZ_TONE.wav
13,NOGO,NA,0,0,1,0,1643.4571959972382,2800HZ_TONE.wav
14,GO,0.325390100479126,1,0,0,0,1678.6361289024353,3000HZ_TONE.wav
15,NOGO,NA,0,0,1,0,1703.4553768634796,2800HZ_TONE.wav
16,NOGO,NA,0,0,1,0,1834.6912939548492,2800HZ_TONE.wav
17,GO,0.29933905601501465,1,0,0,0,1993.086413860321,3000HZ_TONE.wav
18,NOGO,NA,0,0,1,0,2013.0158319473267,2800HZ_TONE.wav
19,GO,0.27744007110595703,1,0,0,0,2026.9154088497162,3000HZ_TONE.wav
20,GO,0,1,0,0,0,2095.4232518672943,3000HZ_TONE.wav
21,NOGO,0.1122899055480957,0,0,0,1,2135.7620029449463,2800HZ_TONE.wav
22,NOGO,0.31996583938598633,0,0,0,1,2162.3311779499054,2800HZ_TONE.wav
23,NOGO,NA,0,0,1,0,2263.6480638980865,2800HZ_TONE.wav
24,NOGO,0.7421550750732422,0,0,0,1,2350.7354848384857,2800HZ_TONE.wav
25,GO,0.5613369941711426,1,0,0,0,2398.983801841736,3000HZ_TONE.wav
26,NOGO,NA,0,0,1,0,2416.7632558345795,2800HZ_TONE.wav
27,GO,0.3726170063018799,1,0,0,0,2461.5418388843536,3000HZ_TONE.wav
28,GO,NA,0,1,0,0,2501.090628862381,3000HZ_TONE.wav
29,GO,0.2729818820953369,1,0,0,0,2585.107996940613,3000HZ_TONE.wav
30,GO,NA,0,1,0,0,2622.906842947006,3000HZ_TONE.wav
31,NOGO,NA,0,0,1,0,2653.9058389663696,2800HZ_TONE.wav
32,NOGO,0.7690718173980713,0,0,0,1,2669.0954909324646,2800HZ_TONE.wav
33,GO,1.068854808807373,1,0,0,0,2700.414379835129,3000HZ_TONE.wav
