Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,NA,0,1,0,0,530.6885120868683
2,GO,NA,0,1,0,0,704.0385329723358
3,NOGO,NA,0,0,1,0,839.3885629177094
4,GO,NA,0,1,0,0,3076.4589269161224
5,GO,NA,0,1,0,0,3485.718959093094
6,GO,NA,0,1,0,0,3511.8089509010315
7,NOGO,NA,0,0,1,0,8984.40954208374
8,GO,0.8951301574707031,1,0,0,0,9814.239753007889
9,NOGO,1.2057440280914307,0,0,0,1,10232.639751911163
10,GO,0.9451260566711426,1,0,0,0,10258.979746103287
11,NOGO,NA,0,0,1,0,10553.009763002396
12,NOGO,NA,0,0,1,0,10733.869745969772
13,NOGO,NA,0,0,1,0,10979.589767932892
14,GO,NA,0,1,0,0,14221.320233106613
