Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,GO,1.8652639389038086,1,0,0,0,13.39162015914917
2,GO,1.3063018321990967,1,0,0,0,39.78167200088501
3,NOGO,NA,0,0,1,0,61.77170205116272
4,NOGO,NA,0,0,1,0,74.2617301940918
5,NOGO,0.7063508033752441,0,0,0,1,87.52179002761841
6,NOGO,1.7830188274383545,0,0,0,1,115.48183608055115
7,GO,1.5884249210357666,1,0,0,0,143.24191212654114
8,GO,0,1,0,0,0,155.35195112228394
9,GO,NA,0,1,0,0,175.29200506210327
10,NOGO,NA,0,0,1,0,189.70203113555908
11,GO,0.5366320610046387,1,0,0,0,206.41206097602844
12,NOGO,NA,0,0,1,0,226.91214799880981
13,NOGO,NA,0,0,1,0,240.70214319229126
14,NOGO,1.5712268352508545,0,0,0,1,262.6121850013733
15,GO,1.193742036819458,1,0,0,0,288.3422610759735
16,GO,NA,0,1,0,0,310.4722890853882
17,GO,NA,0,1,0,0,329.2923409938812
18,NOGO,0,0,0,0,1,361.7223870754242
19,GO,0,1,0,0,0,392.5124731063843
20,NOGO,0.6761970520019531,0,0,0,1,418.09253215789795
21,NOGO,NA,0,0,1,0,446.2925879955292
22,NOGO,1.1490769386291504,0,0,0,1,665.5531749725342
23,NOGO,NA,0,0,1,0,697.4632079601288
24,NOGO,NA,0,0,1,0,738.4332990646362
25,GO,0.7497529983520508,1,0,0,0,753.5633940696716
26,NOGO,NA,0,0,1,0,768.9233310222626
27,GO,0,1,0,0,0,784.1233260631561
28,GO,0.7736880779266357,1,0,0,0,808.6434681415558
29,GO,1.1342370510101318,1,0,0,0,860.2135400772095
30,NOGO,NA,0,0,1,0,881.9035739898682
31,NOGO,NA,0,0,1,0,894.6637711524963
32,NOGO,NA,0,0,1,0,919.5436899662018
33,GO,0,1,0,0,0,936.783714056015
34,NOGO,NA,0,0,1,0,959.3237600326538
35,NOGO,0.4509420394897461,0,0,0,1,980.6138100624084
36,NOGO,NA,0,0,1,0,1029.1639211177826
37,NOGO,NA,0,0,1,0,1044.8339450359344
38,GO,NA,0,1,0,0,1062.2840840816498
39,NOGO,0,0,0,0,1,1098.3540890216827
40,GO,0.8463737964630127,1,0,0,0,1126.9941220283508
41,NOGO,0.5830590724945068,0,0,0,1,1143.1942021846771
42,NOGO,1.4145481586456299,0,0,0,1,1167.264219045639
43,NOGO,0.9267899990081787,0,0,0,1,1191.2242710590363
44,NOGO,NA,0,0,1,0,1216.2843489646912
45,NOGO,0.9105658531188965,0,0,0,1,1231.1143369674683
46,GO,NA,0,1,0,0,1258.654401063919
47,NOGO,0.88065505027771,0,0,0,1,1285.3644790649414
48,NOGO,NA,0,0,1,0,1352.4746520519257
49,NOGO,NA,0,0,1,0,1366.6546959877014
50,GO,1.0715839862823486,1,0,0,0,1633.6852850914001
51,NOGO,NA,0,0,1,0,1652.4953119754791
52,NOGO,NA,0,0,1,0,1668.6653430461884
53,NOGO,NA,0,0,1,0,1695.165431022644
54,GO,0.839453935623169,1,0,0,0,1738.3155150413513
55,GO,NA,0,1,0,0,1822.3457131385803
56,NOGO,NA,0,0,1,0,2578.5373950004578
57,NOGO,NA,0,0,1,0,2657.5875720977783
58,NOGO,NA,0,0,1,0,2683.7676310539246
59,GO,NA,0,1,0,0,2702.8777191638947
60,GO,0.3185768127441406,1,0,0,0,2791.6078729629517
61,NOGO,1.9355251789093018,0,0,0,1,2812.2179210186005
62,NOGO,NA,0,0,1,0,2891.9380869865417
63,GO,NA,0,1,0,0,2912.5981459617615
64,NOGO,0.6415090560913086,0,0,0,1,2952.798238992691
65,GO,0.978754997253418,1,0,0,0,2992.1083130836487
66,NOGO,NA,0,0,1,0,3004.4783601760864
67,GO,0.8510499000549316,1,0,0,0,3016.578355073929
68,GO,NA,0,1,0,0,3031.758404970169
69,GO,0.6072449684143066,1,0,0,0,3046.6884231567383
70,NOGO,NA,0,0,1,0,3063.4885079860687
71,NOGO,NA,0,0,1,0,3080.3485491275787
72,NOGO,NA,0,0,1,0,3113.0186851024628
73,NOGO,NA,0,0,1,0,3140.028669118881
74,NOGO,NA,0,0,1,0,3155.78870511055
75,NOGO,NA,0,0,1,0,3722.200002193451
76,GO,1.1697330474853516,1,0,0,0,3735.8800230026245
77,GO,1.7815568447113037,1,0,0,0,3761.580085992813
78,GO,NA,0,1,0,0,3780.3001370429993
79,GO,NA,0,1,0,0,3797.3501601219177
80,GO,0.6565608978271484,1,0,0,0,3810.6201870441437
81,GO,0,1,0,0,0,3861.5002670288086
82,NOGO,NA,0,0,1,0,3920.4304101467133
83,GO,NA,0,1,0,0,3938.7204530239105
84,NOGO,1.099384069442749,0,0,0,1,3956.1305010318756
85,NOGO,NA,0,0,1,0,3998.170590162277
86,GO,1.174556016921997,1,0,0,0,4804.982400178909
87,NOGO,NA,0,0,1,0,4857.732511043549
88,NOGO,0.9849331378936768,0,0,0,1,4982.90280008316
89,NOGO,NA,0,0,1,0,5026.052894115448
90,NOGO,NA,0,0,1,0,5291.203497171402
91,GO,1.8146789073944092,1,0,0,0,5613.664224147797
92,GO,0,1,0,0,0,5648.444295167923
93,GO,0.8752079010009766,1,0,0,0,5778.494595050812
94,NOGO,NA,0,0,1,0,5797.294667005539
95,NOGO,NA,0,0,1,0,5862.334796190262
96,NOGO,NA,0,0,1,0,5902.414920091629
97,NOGO,1.287437915802002,0,0,0,1,5920.5549330711365
98,GO,NA,0,1,0,0,6340.865863084793
99,NOGO,1.5425760746002197,0,0,0,1,6400.646116018295
100,GO,0,1,0,0,0,6444.356108188629
101,GO,0.7121238708496094,1,0,0,0,6458.33615398407
102,GO,1.3129379749298096,1,0,0,0,6476.916177988052
103,NOGO,0.028675079345703125,0,0,0,1,6494.366213083267
104,NOGO,NA,0,0,1,0,6519.426403045654
105,GO,0.006188869476318359,1,0,0,0,6534.106302022934
106,NOGO,0.03553509712219238,0,0,0,1,6546.736319065094
107,NOGO,NA,0,0,1,0,6577.766398191452
108,NOGO,NA,0,0,1,0,6595.8664309978485
109,GO,0.7502501010894775,1,0,0,0,6848.887000083923
110,NOGO,0.21044492721557617,0,0,0,1,6879.557079076767
111,GO,1.2787351608276367,1,0,0,0,6905.827120065689
112,GO,1.6503171920776367,1,0,0,0,6923.20720911026
113,GO,NA,0,1,0,0,6941.4172031879425
114,NOGO,0.9202761650085449,0,0,0,1,6958.79723906517
115,GO,0.4734020233154297,1,0,0,0,6993.287356138229
116,NOGO,NA,0,0,1,0,7005.907380104065
117,NOGO,NA,0,0,1,0,7021.967406988144
118,GO,0.7803149223327637,1,0,0,0,7036.367446184158
119,GO,1.2996330261230469,1,0,0,0,7066.78750705719
120,GO,0.49193596839904785,1,0,0,0,7086.587553024292
121,NOGO,NA,0,0,1,0,7106.337596178055
122,NOGO,NA,0,0,1,0,7118.717617034912
123,NOGO,NA,0,0,1,0,7143.057687044144
124,GO,0.664046049118042,1,0,0,0,7159.817723035812
125,NOGO,NA,0,0,1,0,7184.637767076492
126,GO,0,1,0,0,0,7211.16782617569
127,NOGO,NA,0,0,1,0,7228.627868175507
128,NOGO,NA,0,0,1,0,7257.487923145294
129,NOGO,1.5498919486999512,0,0,0,1,7271.927953958511
130,NOGO,NA,0,0,1,0,7332.9080901145935
131,GO,NA,0,1,0,0,7353.308142185211
132,GO,0.059632062911987305,1,0,0,0,7367.008167982101
133,GO,NA,0,1,0,0,7380.408200979233
134,NOGO,NA,0,0,1,0,7411.198259115219
135,GO,1.1670629978179932,1,0,0,0,7428.0383059978485
136,NOGO,NA,0,0,1,0,7446.028338193893
137,NOGO,NA,0,0,1,0,7460.128370046616
138,NOGO,NA,0,0,1,0,7478.598441123962
139,GO,NA,0,1,0,0,7501.358503103256
140,NOGO,NA,0,0,1,0,7521.438539028168
141,GO,0.9268200397491455,1,0,0,0,7538.478572130203
142,GO,0,1,0,0,0,7555.048602104187
143,GO,NA,0,1,0,0,7587.118664979935
144,GO,NA,0,1,0,0,7609.84872508049
145,NOGO,NA,0,0,1,0,7628.688775062561
146,NOGO,NA,0,0,1,0,7651.138820171356
147,GO,1.8714280128479004,1,0,0,0,7667.868853092194
148,GO,0,1,0,0,0,7691.608913183212
149,GO,NA,0,1,0,0,7707.8389439582825
150,GO,NA,0,1,0,0,7723.849006175995
151,GO,NA,0,1,0,0,7755.579051017761
152,NOGO,NA,0,0,1,0,8352.030390024185
153,GO,NA,0,1,0,0,8401.490494012833
154,GO,0.7644588947296143,1,0,0,0,8417.650549173355
155,GO,1.0242600440979004,1,0,0,0,8436.520572185516
156,GO,0.30612897872924805,1,0,0,0,8456.5906291008
157,GO,0.9650359153747559,1,0,0,0,8472.380800008774
158,GO,0,1,0,0,0,8488.400690078735
159,GO,0.5831639766693115,1,0,0,0,8544.470800161362
160,NOGO,0.9159820079803467,0,0,0,1,8561.310857057571
161,NOGO,NA,0,0,1,0,8598.650927066803
162,GO,0,1,0,0,0,8623.860990047455
163,GO,0,1,0,0,0,8638.631055116653
164,GO,NA,0,1,0,0,8663.081098079681
165,GO,0.5259339809417725,1,0,0,0,8682.041136980057
166,NOGO,NA,0,0,1,0,8697.821186065674
167,GO,0.855802059173584,1,0,0,0,8718.731224060059
168,GO,0,1,0,0,0,8745.211290121078
169,GO,NA,0,1,0,0,8761.501321077347
170,GO,0,1,0,0,0,8782.221393108368
171,GO,0.6262547969818115,1,0,0,0,8797.511425971985
172,NOGO,NA,0,0,1,0,8819.231443166733
173,NOGO,1.9399700164794922,0,0,0,1,8841.321506023407
174,NOGO,NA,0,0,1,0,8930.12169599533
175,NOGO,NA,0,0,1,0,9110.48211812973
176,GO,0.05362415313720703,1,0,0,0,9172.392240047455
177,GO,0,1,0,0,0,9186.282263040543
178,NOGO,0,0,0,0,1,9204.182319164276
179,NOGO,NA,0,0,1,0,9234.132374048233
180,NOGO,0.5248980522155762,0,0,0,1,9253.112408161163
181,GO,0,1,0,0,0,9276.872481107712
182,GO,0.6977248191833496,1,0,0,0,9292.50249505043
183,NOGO,0.9653849601745605,0,0,0,1,9320.23255610466
184,NOGO,0.8762350082397461,0,0,0,1,9344.492777109146
185,GO,1.0487539768218994,1,0,0,0,9369.802695035934
186,NOGO,NA,0,0,1,0,9383.602761030197
187,NOGO,NA,0,0,1,0,9397.732755184174
188,NOGO,0.018341064453125,0,0,0,1,9410.412793159485
189,NOGO,0,0,0,0,1,9437.782840967178
190,GO,NA,0,1,0,0,9470.682936191559
191,GO,NA,0,1,0,0,9484.8629591465
192,NOGO,NA,0,0,1,0,9511.51315498352
193,NOGO,NA,0,0,1,0,9826.353703975677
194,NOGO,0,0,0,0,1,9854.323790073395
195,NOGO,1.8833179473876953,0,0,0,1,9880.213843107224
196,NOGO,NA,0,0,1,0,9914.473927021027
197,NOGO,NA,0,0,1,0,9951.853975057602
198,NOGO,NA,0,0,1,0,9970.824033021927
199,GO,0.5780038833618164,1,0,0,0,10019.014137029648
200,GO,NA,0,1,0,0,10044.054187059402
201,GO,0.3048698902130127,1,0,0,0,10059.28422999382
202,NOGO,NA,0,0,1,0,10078.634282112122
203,GO,NA,0,1,0,0,10091.624297142029
204,GO,0.5474691390991211,1,0,0,0,10425.865061044693
205,GO,0,1,0,0,0,10442.135111093521
206,GO,0.6154119968414307,1,0,0,0,10456.64514708519
207,NOGO,0.015902042388916016,0,0,0,1,10473.045260190964
208,NOGO,NA,0,0,1,0,10498.885243177414
209,NOGO,1.043497085571289,0,0,0,1,10516.315267086029
210,NOGO,NA,0,0,1,0,10550.125372171402
211,NOGO,NA,0,0,1,0,10583.32542514801
212,NOGO,NA,0,0,1,0,10597.28544998169
213,NOGO,NA,0,0,1,0,10613.525526046753
214,NOGO,0.4941389560699463,0,0,0,1,10670.395606040955
215,GO,NA,0,1,0,0,10709.185688972473
216,NOGO,0.009962797164916992,0,0,0,1,10730.275789022446
217,NOGO,NA,0,0,1,0,10769.49583697319
218,NOGO,NA,0,0,1,0,10786.765889167786
219,GO,NA,0,1,0,0,11159.066703081131
220,NOGO,NA,0,0,1,0,11417.167291164398
221,NOGO,NA,0,0,1,0,11481.257426023483
222,GO,0.6177189350128174,1,0,0,0,11497.837471961975
223,NOGO,NA,0,0,1,0,11520.767523050308
224,NOGO,NA,0,0,1,0,11538.307552099228
225,GO,NA,0,1,0,0,11554.10760307312
226,NOGO,NA,0,0,1,0,11584.60765004158
227,NOGO,0,0,0,0,1,11816.808200120926
228,NOGO,NA,0,0,1,0,12175.739070177078
229,NOGO,NA,0,0,1,0,12200.419057130814
230,NOGO,0,0,0,0,1,12322.919397115707
231,GO,0.15749216079711914,1,0,0,0,12500.699742078781
232,NOGO,NA,0,0,1,0,12515.99977517128
233,GO,NA,0,1,0,0,12571.699894189835
234,NOGO,NA,0,0,1,0,12589.909934043884
235,GO,NA,0,1,0,0,12626.610018968582
236,GO,1.1542110443115234,1,0,0,0,12662.790093183517
237,GO,1.4892690181732178,1,0,0,0,12691.390154123306
238,NOGO,NA,0,0,1,0,12708.120208024979
239,GO,1.0310888290405273,1,0,0,0,12724.980226039886
240,NOGO,NA,0,0,1,0,12743.580258131027
241,NOGO,NA,0,0,1,0,12757.670294046402
242,GO,0,1,0,0,0,12780.170356988907
243,GO,NA,0,1,0,0,12795.820389032364
244,NOGO,NA,0,0,1,0,12821.47043800354
245,NOGO,NA,0,0,1,0,12834.980470180511
246,GO,0.07432007789611816,1,0,0,0,12859.970535993576
247,NOGO,NA,0,0,1,0,12878.880589962006
248,NOGO,NA,0,0,1,0,12898.160606145859
249,GO,NA,0,1,0,0,12920.210654973984
250,GO,NA,0,1,0,0,12951.980762958527
251,NOGO,0.02163410186767578,0,0,0,1,13184.581292152405
252,GO,NA,0,1,0,0,13215.171355009079
253,GO,1.0484950542449951,1,0,0,0,13229.96140217781
254,NOGO,NA,0,0,1,0,13252.921432971954
255,GO,0.7366549968719482,1,0,0,0,13267.581470012665
256,GO,NA,0,1,0,0,13295.18152308464
257,NOGO,NA,0,0,1,0,13327.07159614563
