Trial_number,Trial_type,Response_time_s,Hit,Miss,Reject,False_alarm,Time_from_start
1,NOGO,0.236220121383667,0,0,0,1,6.064471006393433
2,GO,0.15132498741149902,1,0,0,0,30.074223041534424
3,GO,NA,0,1,0,0,46.69411587715149
4,NOGO,NA,0,0,1,0,58.64395594596863
5,NOGO,0.7543699741363525,0,0,0,1,84.0437068939209
6,GO,0,1,0,0,0,112.29351806640625
7,NOGO,1.5933570861816406,0,0,0,1,135.67322492599487
8,GO,0.28229403495788574,1,0,0,0,270.69197607040405
9,GO,1.4379949569702148,1,0,0,0,392.8708510398865
10,GO,0.0010950565338134766,1,0,0,0,414.90059900283813
11,NOGO,0.1816110610961914,0,0,0,1,434.65040707588196
12,GO,0.10874700546264648,1,0,0,0,459.202663898468
13,NOGO,0.09713912010192871,0,0,0,1,475.97012090682983
14,NOGO,0.5787382125854492,0,0,0,1,516.1096699237823
15,GO,0.5377740859985352,1,0,0,0,827.1869728565216
16,GO,NA,0,1,0,0,849.226567029953
17,GO,0.9663941860198975,1,0,0,0,882.3163299560547
18,GO,0,1,0,0,0,906.806077003479
19,GO,NA,0,1,0,0,941.4157700538635
20,GO,0.0041429996490478516,1,0,0,0,969.8754379749298
21,GO,0.12521004676818848,1,0,0,0,1059.5646550655365
22,NOGO,0.3834559917449951,0,0,0,1,2508.011044025421
23,GO,0.688317060470581,1,0,0,0,2532.3707659244537
24,GO,0,1,0,0,0,2553.870594024658
25,NOGO,NA,0,0,1,0,2604.320098876953
26,NOGO,NA,0,0,1,0,2623.839973926544
27,GO,0.939478874206543,1,0,0,0,2745.1689229011536
28,GO,0.714210033416748,1,0,0,0,2772.468549013138
29,NOGO,NA,0,0,1,0,2803.998265981674
30,GO,0.9404418468475342,1,0,0,0,2876.4275369644165
31,GO,1.2399370670318604,1,0,0,0,2932.2670390605927
32,NOGO,1.7400619983673096,0,0,0,1,3020.6761870384216
33,NOGO,NA,0,0,1,0,3208.884360074997
34,NOGO,NA,0,0,1,0,3364.94291305542
35,NOGO,NA,0,0,1,0,3552.4911649227142
36,NOGO,0.731266975402832,0,0,0,1,3596.2307550907135
37,NOGO,NA,0,0,1,0,3892.2779228687286
38,GO,0.1213998794555664,1,0,0,0,3905.9178850650787
39,NOGO,1.229736089706421,0,0,0,1,4037.9165589809418
40,NOGO,NA,0,0,1,0,4153.075448036194
41,GO,NA,0,1,0,0,4173.5052700042725
42,GO,0.43883395195007324,1,0,0,0,4235.994659900665
43,GO,0,1,0,0,0,5335.584311008453
44,NOGO,NA,0,0,1,0,5372.13393497467
45,GO,0.8785750865936279,1,0,0,0,5391.913810968399
46,GO,0,1,0,0,0,5417.093615055084
47,GO,0.19193100929260254,1,0,0,0,5874.049371004105
48,GO,0.004800081253051758,1,0,0,0,5888.0692410469055
49,GO,0.6096081733703613,1,0,0,0,5915.189176082611
50,NOGO,NA,0,0,1,0,5977.668470859528
51,NOGO,1.4249951839447021,0,0,0,1,6010.70810008049
52,GO,0.20529794692993164,1,0,0,0,6123.207031965256
53,GO,1.3407950401306152,1,0,0,0,6141.5268359184265
54,NOGO,NA,0,0,1,0,6160.336709022522
55,NOGO,NA,0,0,1,0,6186.876415014267
56,NOGO,NA,0,0,1,0,6208.956250905991
57,NOGO,0.25199007987976074,0,0,0,1,6245.705894947052
58,GO,0.5908749103546143,1,0,0,0,6605.472558021545
59,GO,0.7028570175170898,1,0,0,0,7315.405783891678
60,GO,NA,0,1,0,0,7332.435643911362
61,GO,0.19316315650939941,1,0,0,0,7451.514564990997
62,GO,0.9653351306915283,1,0,0,0,7478.934252023697
63,GO,NA,0,1,0,0,7810.941113948822
64,GO,0,1,0,0,0,7859.440619945526
65,GO,NA,0,1,0,0,7894.430289030075
66,NOGO,NA,0,0,1,0,7925.960057020187
67,GO,1.2854371070861816,1,0,0,0,7937.709904909134
68,GO,0,1,0,0,0,7962.54975605011
69,NOGO,NA,0,0,1,0,8005.959269046783
70,GO,0.5395410060882568,1,0,0,0,8062.108771085739
71,NOGO,NA,0,0,1,0,8678.922867059708
72,NOGO,0.0927739143371582,0,0,0,1,8691.602762937546
73,NOGO,1.5113649368286133,0,0,0,1,8722.812462091446
74,NOGO,1.0359430313110352,0,0,0,1,8747.372283935547
75,NOGO,NA,0,0,1,0,8774.421956062317
76,NOGO,NA,0,0,1,0,9055.719421863556
77,NOGO,NA,0,0,1,0,9081.27915096283
78,GO,NA,0,1,0,0,9122.198750972748
79,NOGO,NA,0,0,1,0,9133.728600025177
80,GO,0.7723410129547119,1,0,0,0,9270.257287979126
81,NOGO,NA,0,0,1,0,9340.886633872986
82,GO,0.6929550170898438,1,0,0,0,9352.42648100853
83,NOGO,NA,0,0,1,0,9420.925793886185
84,GO,0,1,0,0,0,9433.165704965591
85,NOGO,NA,0,0,1,0,9653.80358505249
86,NOGO,1.600174903869629,0,0,0,1,9846.931689977646
87,GO,NA,0,1,0,0,9974.430490970612
88,GO,0.3415541648864746,1,0,0,0,12134.080160856247
89,GO,NA,0,1,0,0,12174.079782009125
90,NOGO,NA,0,0,1,0,12192.179600000381
91,GO,0.2831242084503174,1,0,0,0,12203.309510946274
92,GO,1.062614917755127,1,0,0,0,12233.24924993515
93,NOGO,NA,0,0,1,0,12248.429125070572
94,GO,1.594939947128296,1,0,0,0,12262.819088935852
95,NOGO,0,0,0,0,1,12327.148519992828
96,NOGO,NA,0,0,1,0,13803.74421286583
97,NOGO,NA,0,0,1,0,13815.254102945328
